"","sim97.X1","sim97.X2","sim97.X3","sim97.X4","sim97.X5","sim97.Country","sim97.score","sim97.rank","sim97.weight"
"1","KAWAKAMI SHOHEI","KAYA KAZUMA","HASHIMOTO DAIKI","RYOTA TSUMURA","CHIBA KENTA","JPN",258.8145,1,3
"2","SHI CONG","SU WEIDE","SUN WEI","ZHANG BOHENG","YIN DEHANG","CHN",258.06875,2,2
"3","JUDA PAUL","PHILLIPS CURRAN","GUIMARAES VITALIY","MOLDAUER YUL","WHITTENBURG DONNELL","USA",257.59775,3,1
"4","FRASER JOE","REGINI GIARNNI","WHITLOCK MAX","TOBIN ADAM","TULLOCH COURTNEY","GBR",254.45775,4,0
"5","BARTOLINI NICOLA","MOZZATO NICOLO","ABBADINI YUMIN","MACCHIATI MARIO","LODADIO MARCO","ITA",250.06175,5,0
"6","ASIL ADEM","ONDER AHMET","ARICAN FERHAT","OENDER AHMET","COLAK IBRAHIM","TUR",248.09925,6,0
"7","BAUMANN CHRISTIAN","SEIFERT NOE","LANGENEGGER FLORIAN","RAUBAL IAN","SERHANI SAMIR","SUI",247.9815,7,0
"8","MIR NICOLAU","PLATA JOEL","JIMENEZ PAU","ABAD NESTOR","DIALLO THIERNO","ESP",247.86375,8,0
"9","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","CLAY ZACHARY","EMARD WILLIAM","CAN",246.0975,9,0
"10","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","RADIVILOV IGOR","STELMAKH RADOMYR","UKR",245.11625,10,0
"11","KOCHAN LUCAS","TREBING GLENN","HOSSEINI MILAN","SCHULTZE TOM","DUNKEL NILS","GER",244.95925,11,0
