"","sim111.X1","sim111.X2","sim111.X3","sim111.X4","sim111.X5","sim111.Country","sim111.score","sim111.rank","sim111.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","KAMOTO YUYA","MINORI HARUKI","KAYA KAZUMA","JPN",263.6815,1,3
"2","SUN WEI","YANG JIAXING","ZHANG BOHENG","LAN XINGYU","YIN DEHANG","CHN",260.149,2,2
"3","MALONE BRODY","RICHARD FRED","WISKUS SHANE","CHOU J.R.","GUIMARAES VITALIY","USA",258.108,3,1
"4","FRASER JOE","JARMAN JAKE","REGINI GIARNNI","LEWIS JAMIE","HEPWORTH HARRY","GBR",255.63525,4,0
"5","ARICAN FERHAT","ASIL ADEM","OENDER AHMET","ONDER AHMET","COLAK IBRAHIM","TUR",253.67275,5,0
"6","LEVANTESI MATTEO","BONICELLI LORENZO","SARRUGERIO MARCO","LODADIO MARCO","CASALI LORENZO","ITA",250.06175,6,0
"7","COURNOYER RENE","EMARD WILLIAM","ZAKUTNEY SAM","DOLCI FELIX","CLAY ZACHARY","CAN",248.531,7,0
"8","SEIFERT NOE","TAMSEL DOMINIC","LANGENEGGER FLORIAN","SERHANI SAMIR","BAUMANN CHRISTIAN","SUI",247.70675,8,0
"9","BRENDEL PASCAL","DAUSER LUKAS","HOSSEINI MILAN","TREBING GLENN","DUNKEL NILS","GER",246.8825,9,0
"10","ABAD NESTOR","WILLIAMS JOSHUA","MIR NICOLAU","PLATA JOEL","DIALLO THIERNO","ESP",246.76475,10,0
"11","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",242.83975,11,0
