"","sim108.X1","sim108.X2","sim108.X3","sim108.X4","sim108.X5","sim108.Country","sim108.score","sim108.rank","sim108.weight"
"1","SHI CONG","ZHANG BOHENG","YANG JIAXING","YOU HAO","SU WEIDE","CHN",264.50575,1,3
"2","HASHIMOTO DAIKI","KAMOTO YUYA","TANIGAWA KAKERU","CHIBA KENTA","RYOTA TSUMURA","JPN",260.62,2,2
"3","JUDA PAUL","MALONE BRODY","RICHARD FRED","GUIMARAES VITALIY","HALE DALLAS","USA",257.28375,3,1
"4","FRASER JOE","HALL JAMES","REGINI GIARNNI","TULLOCH COURTNEY","JARMAN JAKE","GBR",252.41675,4,0
"5","LEVANTESI MATTEO","ABBADINI YUMIN","CASALI LORENZO","MACCHIATI MARIO","LODADIO MARCO","ITA",250.06175,5,0
"6","BAUMANN CHRISTIAN","SERHANI TAHA","LANGENEGGER FLORIAN","SEIFERT NOE","SERHANI SAMIR","SUI",249.7085,6,0
"7","ARICAN FERHAT","ASIL ADEM","COLAK IBRAHIM","OENDER AHMET","GUNDOGDU YUNUS","TUR",249.27675,7,0
"8","BRENDEL PASCAL","TREBING GLENN","DAUSER LUKAS","DUNKEL NILS","SCHULTZE TOM","GER",248.688,8,0
"9","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","CLAY ZACHARY","CAN",247.94225,9,0
"10","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","CHEPURNYI NAZAR","RADIVILOV IGOR","UKR",247.23575,10,0
"11","ABAD NESTOR","MIR NICOLAU","PLATA JOEL","DIALLO THIERNO","JIMENEZ PAU","ESP",245.97975,11,0
