"","Simulation","Member1","Member2","Member3","Member4","Member5","Score","Rank","Weight"
"data","sim801","JUDA PAUL","MALONE BRODY","SUN BLAKE","WALKER COLT","WHITTENBURG DONNELL","257.44075","3","1"
"data.1","sim802","MALONE BRODY","HONG ASHER","JUDA PAUL","WALKER COLT","WHITTENBURG DONNELL","258.5005","2","2"
"data.2","sim803","MALONE BRODY","RICHARD FRED","MOLDAUER YUL","HOOPES PATRICK","HONG ASHER","258.53975","3","1"
"data.3","sim804","JUDA PAUL","MALONE BRODY","GUIMARAES VITALIY","WALKER COLT","MOLDAUER YUL","258.8145","3","1"
"data.4","sim805","MALONE BRODY","HONG ASHER","PHILLIPS CURRAN","GUIMARAES VITALIY","YOUNG KHOI","257.04825","3","1"
"data.5","sim806","MALONE BRODY","RICHARD FRED","HALE DALLAS","MOLDAUER YUL","YOUNG KHOI","260.34525","3","1"
"data.6","sim807","MOLDAUER YUL","HONG ASHER","SUN BLAKE","YOUNG KHOI","WHITTENBURG DONNELL","256.9305","3","1"
"data.7","sim808","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","WALKER COLT","HONG ASHER","257.8725","3","1"
"data.8","sim809","JUDA PAUL","MALONE BRODY","RICHARD FRED","HONG ASHER","NEDOROSCIK STEPHEN","258.9715","3","1"
"data.9","sim810","MALONE BRODY","PHILLIPS CURRAN","MOLDAUER YUL","WHITTENBURG DONNELL","WALKER COLT","258.69675","2","2"
"data.10","sim811","MALONE BRODY","JUDA PAUL","MOLDAUER YUL","NEDOROSCIK STEPHEN","HONG ASHER","258.77525","3","1"
"data.11","sim812","JUDA PAUL","MALONE BRODY","RICHARD FRED","WALKER COLT","NEDOROSCIK STEPHEN","259.4425","2","2"
"data.12","sim813","MOLDAUER YUL","WHITTENBURG DONNELL","NEDOROSCIK STEPHEN","HONG ASHER","MALONE BRODY","258.14725","3","1"
"data.13","sim814","BRIONES BRANDON","MALONE BRODY","BURKHART TAYLOR","HALE DALLAS","MOLDAUER YUL","257.2445","3","1"
"data.14","sim815","JUDA PAUL","MALONE BRODY","GUIMARAES VITALIY","BOCK CAMERON","HONG ASHER","256.81275","3","1"
"data.15","sim816","JUDA PAUL","WISKUS SHANE","WALKER COLT","WHITTENBURG DONNELL","PHILLIPS CURRAN","258.53975","3","1"
"data.16","sim817","JUDA PAUL","MALONE BRODY","RICHARD FRED","HONG ASHER","YOUNG KHOI","257.5585","3","1"
