"","sim57.X1","sim57.X2","sim57.X3","sim57.X4","sim57.X5","sim57.Country","sim57.score","sim57.rank","sim57.weight"
"1","HASHIMOTO DAIKI","KAMOTO YUYA","DOI RYOSUKE","MINAMI KAZUKI","TANIGAWA WATARU","JPN",261.7975,1,3
"2","SHI CONG","SUN WEI","SU WEIDE","ZHANG BOHENG","ZOU JINGYUAN","CHN",258.30425,2,2
"3","MALONE BRODY","WHITTENBURG DONNELL","JUDA PAUL","MOLDAUER YUL","BOCK CAMERON","USA",257.99025,3,1
"4","FRASER JOE","HALL JAMES","JARMAN JAKE","TULLOCH COURTNEY","REGINI GIARNNI","GBR",257.91175,4,0
"5","ARICAN FERHAT","ASIL ADEM","OENDER AHMET","KOSAK MEHMET","COLAK IBRAHIM","TUR",250.1795,5,0
"6","KOCHAN LUCAS","BRENDEL PASCAL","HOSSEINI MILAN","DAUSER LUKAS","DUNKEL NILS","GER",249.2375,6,0
"7","MACCHINI CARLO","BARTOLINI NICOLA","CASALI LORENZO","MACCHIATI MARIO","LODADIO MARCO","ITA",248.72725,7,0
"8","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","CLAY ZACHARY","CAN",247.86375,8,0
"9","SEIFERT NOE","SERHANI TAHA","LANGENEGGER FLORIAN","BAUMANN CHRISTIAN","SERHANI SAMIR","SUI",247.78525,9,0
"10","ABAD NESTOR","MIR NICOLAU","PLATA JOEL","DIALLO THIERNO","JIMENEZ PAU","ESP",246.2545,10,0
"11","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","CHEPURNYI NAZAR","UKR",243.23225,11,0
