"","sim43.X1","sim43.X2","sim43.X3","sim43.X4","sim43.X5","sim43.Country","sim43.score","sim43.rank","sim43.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","TANIGAWA KAKERU","TANIGAWA WATARU","KAYA KAZUMA","JPN",262.347,1,3
"2","SHI CONG","ZHANG BOHENG","YANG JIAXING","LAN XINGYU","SUN WEI","CHN",258.0295,2,2
"3","BOCK CAMERON","MALONE BRODY","WHITTENBURG DONNELL","GUIMARAES VITALIY","HALE DALLAS","USA",257.009,3,1
"4","FRASER JOE","REGINI GIARNNI","WHITEHOUSE LUKE","WHITLOCK MAX","TULLOCH COURTNEY","GBR",255.94925,4,0
"5","ABBADINI YUMIN","BARTOLINI NICOLA","SARRUGERIO MARCO","MACCHIATI MARIO","LODADIO MARCO","ITA",251.78875,5,0
"6","ARICAN FERHAT","ASIL ADEM","OENDER AHMET","COLAK IBRAHIM","GUNDOGDU YUNUS","TUR",250.68975,6,0
"7","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","CHEPURNYI NAZAR","RADIVILOV IGOR","UKR",249.27675,7,0
"8","DAUSER LUKAS","BRENDEL PASCAL","DUNKEL NILS","HOSSEINI MILAN","KOCHAN LUCAS","GER",248.80575,8,0
"9","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","CLAY ZACHARY","CAN",247.8245,9,0
"10","ABAD NESTOR","MIR NICOLAU","PLATA JOEL","DIALLO THIERNO","JIMENEZ PAU","ESP",246.8825,10,0
"11","BAUMANN CHRISTIAN","SERHANI SAMIR","SERHANI TAHA","FREY ANDRIN","LANGENEGGER FLORIAN","SUI",244.48825,11,0
