"","sim33.X1","sim33.X2","sim33.X3","sim33.X4","sim33.X5","sim33.Country","sim33.score","sim33.rank","sim33.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","TANIGAWA WATARU","KAYA KAZUMA","RYOTA TSUMURA","JPN",263.01425,1,3
"2","LIN CHAOPAN","SHI CONG","ZHANG BOHENG","YANG JIAXING","LAN XINGYU","CHN",260.97325,2,2
"3","JUDA PAUL","PHILLIPS CURRAN","MOLDAUER YUL","SUN BLAKE","WHITTENBURG DONNELL","USA",258.14725,3,1
"4","FRASER JOE","HALL JAMES","REGINI GIARNNI","JARMAN JAKE","TOBIN ADAM","GBR",256.02775,4,0
"5","ARICAN FERHAT","ASIL ADEM","ONDER AHMET","OENDER AHMET","COLAK IBRAHIM","TUR",251.9065,5,0
"6","BRENDEL PASCAL","KOCHAN LUCAS","TREBING GLENN","HOSSEINI MILAN","DAUSER LUKAS","GER",250.14025,6,0
"7","ABBADINI YUMIN","MACCHINI CARLO","CASALI LORENZO","MOZZATO NICOLO","MACCHIATI MARIO","ITA",250.06175,7,0
"8","SEIFERT NOE","SERHANI TAHA","RAUBAL IAN","BAUMANN CHRISTIAN","LANGENEGGER FLORIAN","SUI",246.4115,8,0
"9","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",246.176,9,0
"10","JIMENEZ PAU","PLATA JOEL","WILLIAMS JOSHUA","ABAD NESTOR","DIALLO THIERNO","ESP",245.58725,10,0
"11","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","CHEPURNYI NAZAR","UKR",245.03775,11,0
