"","sim101.X1","sim101.X2","sim101.X3","sim101.X4","sim101.X5","sim101.Country","sim101.score","sim101.rank","sim101.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","TANIGAWA KAKERU","KAMOTO YUYA","TANIGAWA WATARU","JPN",261.876,1,3
"2","SHI CONG","ZHANG BOHENG","SU WEIDE","ZOU JINGYUAN","YOU HAO","CHN",260.2275,2,2
"3","BURKHART TAYLOR","MALONE BRODY","RICHARD FRED","JUDA PAUL","PHILLIPS CURRAN","USA",258.736,3,1
"4","SEIFERT NOE","SERHANI SAMIR","SERHANI TAHA","LANGENEGGER FLORIAN","FREY ANDRIN","SUI",251.357,4,0
"5","ASIL ADEM","ONDER AHMET","ARICAN FERHAT","OENDER AHMET","COLAK IBRAHIM","TUR",251.23925,5,0
"6","FRASER JOE","HALL JAMES","JARMAN JAKE","LEWIS JAMIE","KARNEJENKO PAVEL","GBR",249.74775,6,0
"7","LEVANTESI MATTEO","BARTOLINI NICOLA","MACCHIATI MARIO","LODADIO MARCO","MARESCA SALVATORE","ITA",249.5515,7,0
"8","BRENDEL PASCAL","DAUSER LUKAS","HOERR CARLO","HOSSEINI MILAN","TREBING GLENN","GER",248.374,8,0
"9","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",247.62825,9,0
"10","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","CHEPURNYI NAZAR","UKR",245.43025,10,0
"11","ABAD NESTOR","JIMENEZ PAU","MIR NICOLAU","PLATA JOEL","DIALLO THIERNO","ESP",245.27325,11,0
