"","sim12.X1","sim12.X2","sim12.X3","sim12.X4","sim12.X5","sim12.Country","sim12.score","sim12.rank","sim12.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","KAMOTO YUYA","KAYA KAZUMA","CHIBA KENTA","JPN",262.661,1,3
"2","SHI CONG","ZHANG BOHENG","SU WEIDE","YIN DEHANG","SUN WEI","CHN",260.73775,2,2
"3","MALONE BRODY","RICHARD FRED","WISKUS SHANE","HONG ASHER","YOUNG KHOI","USA",258.85375,3,1
"4","FRASER JOE","NATHAN JOSHUA","WHITLOCK MAX","LEWIS JAMIE","TULLOCH COURTNEY","GBR",253.0055,4,0
"5","ARICAN FERHAT","ASIL ADEM","OENDER AHMET","ONDER AHMET","COLAK IBRAHIM","TUR",252.18125,5,0
"6","CHEPURNYI NAZAR","PAKHNIUK PETRO","STELMAKH RADOMYR","KOVTUN ILLIA","RADIVILOV IGOR","UKR",251.357,6,0
"7","DAUSER LUKAS","SCHULTZE TOM","BRENDEL PASCAL","DUNKEL NILS","TREBING GLENN","GER",249.74775,7,0
"8","ABBADINI YUMIN","BARTOLINI NICOLA","CASALI LORENZO","MACCHIATI MARIO","SARRUGERIO MARCO","ITA",249.51225,8,0
"9","SEIFERT NOE","TAMSEL DOMINIC","FREY ANDRIN","LANGENEGGER FLORIAN","BAUMANN CHRISTIAN","SUI",249.316,9,0
"10","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","CLAY ZACHARY","CAN",248.7665,10,0
"11","ABAD NESTOR","MIR NICOLAU","DIALLO THIERNO","PLATA JOEL","JIMENEZ PAU","ESP",244.5275,11,0
