"","sim56.X1","sim56.X2","sim56.X3","sim56.X4","sim56.X5","sim56.Country","sim56.score","sim56.rank","sim56.weight"
"1","MALONE BRODY","RICHARD FRED","JUDA PAUL","MOLDAUER YUL","WHITTENBURG DONNELL","USA",258.265,1,3
"2","LIN CHAOPAN","YANG JIAXING","SHI CONG","ZHANG BOHENG","LAN XINGYU","CHN",258.14725,2,2
"3","TANIGAWA WATARU","SUGIMOTO KAITO","CHIBA KENTA","DOI RYOSUKE","HASHIMOTO DAIKI","JPN",257.28375,3,1
"4","FRASER JOE","REGINI GIARNNI","HALL JAMES","WHITLOCK MAX","LEWIS JAMIE","GBR",254.026,4,0
"5","BARTOLINI NICOLA","BONICELLI LORENZO","CASALI LORENZO","ABBADINI YUMIN","MARESCA SALVATORE","ITA",251.71025,5,0
"6","DAUSER LUKAS","HOERR CARLO","TREBING GLENN","SCHULTZE TOM","BRENDEL PASCAL","GER",248.25625,6,0
"7","BAUMANN CHRISTIAN","SEIFERT NOE","FREY ANDRIN","SERHANI TAHA","RAUBAL IAN","SUI",248.17775,7,0
"8","ARICAN FERHAT","ASIL ADEM","ONDER AHMET","COLAK IBRAHIM","OENDER AHMET","TUR",247.9815,8,0
"9","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",246.21525,9,0
"10","ABAD NESTOR","MIR NICOLAU","DIALLO THIERNO","PLATA JOEL","WILLIAMS JOSHUA","ESP",246.05825,10,0
"11","COURNOYER RENE","ZAKUTNEY SAM","DOLCI FELIX","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",243.8995,11,0
