"","sim137.X1","sim137.X2","sim137.X3","sim137.X4","sim137.X5","sim137.Country","sim137.score","sim137.rank","sim137.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","KAMOTO YUYA","RYOTA TSUMURA","TANIGAWA WATARU","JPN",262.07225,1,3
"2","MALONE BRODY","RICHARD FRED","JUDA PAUL","HONG ASHER","WALKER COLT","USA",259.40325,2,2
"3","SUN WEI","ZHANG BOHENG","SHI CONG","ZOU JINGYUAN","LIU YANG","CHN",259.207,3,1
"4","FRASER JOE","HALL JAMES","REGINI GIARNNI","WHITLOCK MAX","TULLOCH COURTNEY","GBR",256.81275,4,0
"5","ARICAN FERHAT","ASIL ADEM","OENDER AHMET","ONDER AHMET","COLAK IBRAHIM","TUR",250.886,5,0
"6","SEIFERT NOE","SERHANI SAMIR","SERHANI TAHA","LANGENEGGER FLORIAN","TAMSEL DOMINIC","SUI",250.45425,6,0
"7","ABBADINI YUMIN","BARTOLINI NICOLA","CASALI LORENZO","MACCHIATI MARIO","ROSA EDOARDO","ITA",250.1795,7,0
"8","BRENDEL PASCAL","KOCHAN LUCAS","DAUSER LUKAS","HOSSEINI MILAN","DUNKEL NILS","GER",249.0805,8,0
"9","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",247.78525,9,0
"10","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","CLAY ZACHARY","CAN",246.68625,10,0
"11","ABAD NESTOR","JIMENEZ PAU","PLATA JOEL","MIR NICOLAU","DIALLO THIERNO","ESP",245.19475,11,0
