"","sim63.X1","sim63.X2","sim63.X3","sim63.X4","sim63.X5","sim63.Country","sim63.score","sim63.rank","sim63.weight"
"1","HASHIMOTO DAIKI","KAMOTO YUYA","TANIGAWA KAKERU","TANIGAWA WATARU","KAYA KAZUMA","JPN",259.7565,1,3
"2","MALONE BRODY","RICHARD FRED","PHILLIPS CURRAN","WALKER COLT","GUIMARAES VITALIY","USA",259.364,2,2
"3","LIN CHAOPAN","SU WEIDE","ZHANG BOHENG","YIN DEHANG","LAN XINGYU","CHN",258.265,3,1
"4","FRASER JOE","HALL JAMES","REGINI GIARNNI","JARMAN JAKE","TULLOCH COURTNEY","GBR",256.89125,4,0
"5","ASIL ADEM","OENDER AHMET","ONDER AHMET","ARICAN FERHAT","GUNDOGDU YUNUS","TUR",249.3945,5,0
"6","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","CHEPURNYI NAZAR","UKR",249.35525,6,0
"7","DAUSER LUKAS","KOCHAN LUCAS","HOSSEINI MILAN","BRENDEL PASCAL","DUNKEL NILS","GER",248.25625,7,0
"8","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","CLAY ZACHARY","RAMPERSAD JAYSON","CAN",248.217,8,0
"9","ABBADINI YUMIN","VANNUCCHI NICCOLO","BARTOLINI NICOLA","MACCHIATI MARIO","SARRUGERIO MARCO","ITA",247.86375,9,0
"10","SERHANI SAMIR","SERHANI TAHA","TAMSEL DOMINIC","LANGENEGGER FLORIAN","SEIFERT NOE","SUI",247.78525,10,0
"11","ABAD NESTOR","WILLIAMS JOSHUA","DIALLO THIERNO","MIR NICOLAU","PLATA JOEL","ESP",245.90125,11,0
