"","sim139.X1","sim139.X2","sim139.X3","sim139.X4","sim139.X5","sim139.Country","sim139.score","sim139.rank","sim139.weight"
"1","SHI CONG","ZHANG BOHENG","SU WEIDE","LAN XINGYU","YIN DEHANG","CHN",260.6985,1,3
"2","CHIBA KENTA","DOI RYOSUKE","TANIGAWA KAKERU","KAYA KAZUMA","KAMOTO YUYA","JPN",260.149,2,2
"3","MALONE BRODY","WISKUS SHANE","HALE DALLAS","YOUNG KHOI","WHITTENBURG DONNELL","USA",258.30425,3,1
"4","HALL JAMES","TOBIN ADAM","JARMAN JAKE","WHITLOCK MAX","TULLOCH COURTNEY","GBR",254.45775,4,0
"5","ASIL ADEM","OENDER AHMET","ARICAN FERHAT","COLAK IBRAHIM","KOSAK MEHMET","TUR",251.2,5,0
"6","CASALI LORENZO","MOZZATO NICOLO","MACCHIATI MARIO","SARRUGERIO MARCO","LODADIO MARCO","ITA",250.06175,6,0
"7","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",249.002,7,0
"8","BAUMANN CHRISTIAN","SERHANI TAHA","LANGENEGGER FLORIAN","SEIFERT NOE","RAUBAL IAN","SUI",247.86375,8,0
"9","ABAD NESTOR","MIR NICOLAU","PLATA JOEL","JIMENEZ PAU","DIALLO THIERNO","ESP",246.647,9,0
"10","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","RADIVILOV IGOR","STELMAKH RADOMYR","UKR",245.705,10,0
"11","BRENDEL PASCAL","HOERR CARLO","DAUSER LUKAS","DUNKEL NILS","KOCHAN LUCAS","GER",244.17425,11,0
