"","sim77.X1","sim77.X2","sim77.X3","sim77.X4","sim77.X5","sim77.Country","sim77.score","sim77.rank","sim77.weight"
"1","HASHIMOTO DAIKI","KAMOTO YUYA","CHIBA KENTA","RYOTA TSUMURA","TANIGAWA WATARU","JPN",263.40675,1,3
"2","SHI CONG","SUN WEI","YANG JIAXING","ZHANG BOHENG","LAN XINGYU","CHN",261.20875,2,2
"3","GUIMARAES VITALIY","JUDA PAUL","MALONE BRODY","YOUNG KHOI","HONG ASHER","USA",258.53975,3,1
"4","FRASER JOE","HALL JAMES","TULLOCH COURTNEY","JARMAN JAKE","LEWIS JAMIE","GBR",255.63525,4,0
"5","ASIL ADEM","OENDER AHMET","ONDER AHMET","ARICAN FERHAT","COLAK IBRAHIM","TUR",253.12325,5,0
"6","BARTOLINI NICOLA","CASALI LORENZO","MACCHIATI MARIO","SARRUGERIO MARCO","MARESCA SALVATORE","ITA",251.2,6,0
"7","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","CLAY ZACHARY","CAN",250.61125,7,0
"8","BAUMANN CHRISTIAN","FREY ANDRIN","RAUBAL IAN","SEIFERT NOE","LANGENEGGER FLORIAN","SUI",249.19825,8,0
"9","BRENDEL PASCAL","DAUSER LUKAS","DUNKEL NILS","TREBING GLENN","KOCHAN LUCAS","GER",247.903,9,0
"10","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","VASHCHENKO ROMAN","UKR",247.15725,10,0
"11","ABAD NESTOR","PLATA JOEL","WILLIAMS JOSHUA","MIR NICOLAU","DIALLO THIERNO","ESP",245.7835,11,0
