"","sim92.X1","sim92.X2","sim92.X3","sim92.X4","sim92.X5","sim92.Country","sim92.score","sim92.rank","sim92.weight"
"1","SHI CONG","SUN WEI","ZHANG BOHENG","LAN XINGYU","LIU YANG","CHN",263.0535,1,3
"2","HASHIMOTO DAIKI","KAMOTO YUYA","KAYA KAZUMA","TANIGAWA KAKERU","TANIGAWA WATARU","JPN",262.8965,2,2
"3","MALONE BRODY","PHILLIPS CURRAN","RICHARD FRED","GUIMARAES VITALIY","HONG ASHER","USA",259.364,3,1
"4","HALL JAMES","BARBER EMIL","FRASER JOE","LEWIS JAMIE","JARMAN JAKE","GBR",253.51575,4,0
"5","ARICAN FERHAT","ASIL ADEM","OENDER AHMET","COLAK IBRAHIM","KOSAK MEHMET","TUR",252.77,5,0
"6","MOZZATO NICOLO","MACCHIATI MARIO","LEVANTESI MATTEO","LODADIO MARCO","BARTOLINI NICOLA","ITA",250.9645,6,0
"7","COURNOYER RENE","DOLCI FELIX","EMARD WILLIAM","CLAY ZACHARY","KAJI CHRIS","CAN",248.688,7,0
"8","BRENDEL PASCAL","HOERR CARLO","TREBING GLENN","HOSSEINI MILAN","DAUSER LUKAS","GER",247.6675,8,0
"9","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",247.6675,9,0
"10","MIR NICOLAU","WILLIAMS JOSHUA","ABAD NESTOR","PLATA JOEL","DIALLO THIERNO","ESP",245.35175,10,0
"11","SEIFERT NOE","TAMSEL DOMINIC","FREY ANDRIN","RAUBAL IAN","BAUMANN CHRISTIAN","SUI",244.40975,11,0
