"","sim116.X1","sim116.X2","sim116.X3","sim116.X4","sim116.X5","sim116.Country","sim116.score","sim116.rank","sim116.weight"
"1","SHI CONG","SU WEIDE","ZHANG BOHENG","YANG JIAXING","LAN XINGYU","CHN",262.62175,1,3
"2","CORMIER MATT","MALONE BRODY","RICHARD FRED","YOUNG KHOI","MOLDAUER YUL","USA",260.42375,2,2
"3","MATSUMI KAZUKI","HASHIMOTO DAIKI","TANIGAWA KAKERU","TANIGAWA WATARU","CHIBA KENTA","JPN",259.24625,3,1
"4","FRASER JOE","HALL JAMES","REGINI GIARNNI","TULLOCH COURTNEY","JARMAN JAKE","GBR",255.6745,4,0
"5","ARICAN FERHAT","ASIL ADEM","ONDER AHMET","DEMIR SERCAN","COLAK IBRAHIM","TUR",251.4355,5,0
"6","BONICELLI LORENZO","BARTOLINI NICOLA","SARRUGERIO MARCO","LODADIO MARCO","CASALI LORENZO","ITA",250.886,6,0
"7","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","CHEPURNYI NAZAR","UKR",249.11975,7,0
"8","BAUMANN CHRISTIAN","FREY ANDRIN","RAUBAL IAN","SEIFERT NOE","TAMSEL DOMINIC","SUI",248.64875,8,0
"9","BRENDEL PASCAL","DUNKEL NILS","DAUSER LUKAS","TREBING GLENN","SISSAKIS DARIO","GER",247.70675,9,0
"10","DIALLO THIERNO","WILLIAMS JOSHUA","ABAD NESTOR","PLATA JOEL","MIR NICOLAU","ESP",244.292,10,0
"11","COURNOYER RENE","ZAKUTNEY SAM","DOLCI FELIX","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",243.193,11,0
