"","sim87.X1","sim87.X2","sim87.X3","sim87.X4","sim87.X5","sim87.Country","sim87.score","sim87.rank","sim87.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","KAYA KAZUMA","MATSUMI KAZUKI","CHIBA KENTA","JPN",262.38625,1,3
"2","JUDA PAUL","MALONE BRODY","RICHARD FRED","WHITTENBURG DONNELL","YOUNG KHOI","USA",260.5415,2,2
"3","SUN WEI","ZHANG BOHENG","YANG JIAXING","SHI CONG","LAN XINGYU","CHN",259.7565,3,1
"4","FRASER JOE","REGINI GIARNNI","WHITLOCK MAX","HALL JAMES","JARMAN JAKE","GBR",256.381,4,0
"5","ARICAN FERHAT","ASIL ADEM","ONDER AHMET","COLAK IBRAHIM","KOSAK MEHMET","TUR",252.41675,5,0
"6","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",249.5515,6,0
"7","BARTOLINI NICOLA","BONICELLI LORENZO","CASALI LORENZO","ROSA EDOARDO","LODADIO MARCO","ITA",249.002,7,0
"8","BAUMANN CHRISTIAN","SERHANI SAMIR","TAMSEL DOMINIC","FREY ANDRIN","SEIFERT NOE","SUI",248.96275,8,0
"9","BRENDEL PASCAL","TREBING GLENN","DAUSER LUKAS","DUNKEL NILS","KOCHAN LUCAS","GER",247.746,9,0
"10","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",247.15725,10,0
"11","ABAD NESTOR","JIMENEZ PAU","MIR NICOLAU","PLATA JOEL","DIALLO THIERNO","ESP",245.548,11,0
