"","sim50.X1","sim50.X2","sim50.X3","sim50.X4","sim50.X5","sim50.Country","sim50.score","sim50.rank","sim50.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","TANIGAWA WATARU","HIDAKA DAIKI","KAYA KAZUMA","JPN",261.13025,1,3
"2","SHI CONG","YANG JIAXING","ZHANG BOHENG","ZOU JINGYUAN","LAN XINGYU","CHN",258.53975,2,2
"3","FRASER JOE","REGINI GIARNNI","TOBIN ADAM","TULLOCH COURTNEY","JARMAN JAKE","GBR",257.009,3,1
"4","MALONE BRODY","RICHARD FRED","GUIMARAES VITALIY","BOCK CAMERON","HONG ASHER","USA",255.94925,4,0
"5","BAUMANN CHRISTIAN","SERHANI TAHA","LANGENEGGER FLORIAN","SEIFERT NOE","SERHANI SAMIR","SUI",249.944,5,0
"6","COURNOYER RENE","DOLCI FELIX","EMARD WILLIAM","CLAY ZACHARY","RAMPERSAD JAYSON","CAN",248.41325,6,0
"7","ASIL ADEM","ONDER AHMET","ARICAN FERHAT","OENDER AHMET","COLAK IBRAHIM","TUR",248.25625,7,0
"8","KOVTUN ILLIA","PAKHNIUK PETRO","RADIVILOV IGOR","VASHCHENKO ROMAN","CHEPURNYI NAZAR","UKR",247.15725,8,0
"9","ABBADINI YUMIN","CASALI LORENZO","BONICELLI LORENZO","ROSA EDOARDO","LODADIO MARCO","ITA",247.118,9,0
"10","ABAD NESTOR","MIR NICOLAU","WILLIAMS JOSHUA","PLATA JOEL","DIALLO THIERNO","ESP",246.961,10,0
"11","HOERR CARLO","TREBING GLENN","BRENDEL PASCAL","KOCHAN LUCAS","DUNKEL NILS","GER",246.52925,11,0
