"","sim61.X1","sim61.X2","sim61.X3","sim61.X4","sim61.X5","sim61.Country","sim61.score","sim61.rank","sim61.weight"
"1","HASHIMOTO DAIKI","KAYA KAZUMA","TANIGAWA WATARU","SUGINO TAKAAKI","RYOTA TSUMURA","JPN",261.1695,1,3
"2","SHI CONG","SU WEIDE","ZHANG BOHENG","YIN DEHANG","LAN XINGYU","CHN",260.62,2,2
"3","PHILLIPS CURRAN","RICHARD FRED","WHITTENBURG DONNELL","MOLDAUER YUL","YOUNG KHOI","USA",260.149,3,1
"4","FRASER JOE","HALL JAMES","HEPWORTH HARRY","TULLOCH COURTNEY","JARMAN JAKE","GBR",255.9885,4,0
"5","ASIL ADEM","OENDER AHMET","ARICAN FERHAT","ONDER AHMET","KOSAK MEHMET","TUR",250.84675,5,0
"6","BARTOLINI NICOLA","MACCHINI CARLO","BONICELLI LORENZO","SARRUGERIO MARCO","LODADIO MARCO","ITA",249.944,6,0
"7","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","RADIVILOV IGOR","VASHCHENKO ROMAN","UKR",249.316,7,0
"8","BAUMANN CHRISTIAN","SERHANI SAMIR","SERHANI TAHA","LANGENEGGER FLORIAN","RAUBAL IAN","SUI",249.159,8,0
"9","KOCHAN LUCAS","TREBING GLENN","DUNKEL NILS","HOSSEINI MILAN","DAUSER LUKAS","GER",248.6095,9,0
"10","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","CLAY ZACHARY","CAN",248.1385,10,0
"11","ABAD NESTOR","MIR NICOLAU","PLATA JOEL","DIALLO THIERNO","JIMENEZ PAU","ESP",244.2135,11,0
