"","sim95.X1","sim95.X2","sim95.X3","sim95.X4","sim95.X5","sim95.Country","sim95.score","sim95.rank","sim95.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","KAMOTO YUYA","KAYA KAZUMA","CHIBA KENTA","JPN",262.54325,1,3
"2","SHI CONG","SUN WEI","YANG JIAXING","ZHANG BOHENG","LAN XINGYU","CHN",259.521,2,2
"3","JUDA PAUL","MALONE BRODY","YOUNG KHOI","HALE DALLAS","RICHARD FRED","USA",257.91175,3,1
"4","FRASER JOE","HALL JAMES","REGINI GIARNNI","WHITLOCK MAX","TULLOCH COURTNEY","GBR",254.8895,4,0
"5","DAUSER LUKAS","TREBING GLENN","HOSSEINI MILAN","SCHULTZE TOM","DUNKEL NILS","GER",249.2375,5,0
"6","BAUMANN CHRISTIAN","SEIFERT NOE","SERHANI TAHA","LANGENEGGER FLORIAN","SERHANI SAMIR","SUI",248.41325,6,0
"7","BONICELLI LORENZO","BARTOLINI NICOLA","CASALI LORENZO","SARRUGERIO MARCO","ABBADINI YUMIN","ITA",247.903,7,0
"8","ARICAN FERHAT","ASIL ADEM","OENDER AHMET","COLAK IBRAHIM","KOSAK MEHMET","TUR",247.8245,8,0
"9","COURNOYER RENE","EMARD WILLIAM","ZAKUTNEY SAM","DOLCI FELIX","CLAY ZACHARY","CAN",246.647,9,0
"10","ABAD NESTOR","MIR NICOLAU","PLATA JOEL","DIALLO THIERNO","JIMENEZ PAU","ESP",244.72375,10,0
"11","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","CHEPURNYI NAZAR","UKR",244.64525,11,0
