"","Simulation","Member1","Member2","Member3","Member4","Member5","Score","Rank","Weight"
"data","sim901","MALONE BRODY","RICHARD FRED","PHILLIPS CURRAN","GUIMARAES VITALIY","HONG ASHER","257.44075","3","1"
"data.1","sim902","MALONE BRODY","JUDA PAUL","MOLDAUER YUL","YOUNG KHOI","WHITTENBURG DONNELL","261.28725","1","3"
"data.2","sim903","HONG ASHER","CHOU J.R.","SUN BLAKE","WHITTENBURG DONNELL","JUDA PAUL","257.4015","3","1"
"data.3","sim904","MALONE BRODY","JUDA PAUL","RICHARD FRED","WALKER COLT","WHITTENBURG DONNELL","258.265","3","1"
"data.4","sim905","JUDA PAUL","MALONE BRODY","RICHARD FRED","WHITTENBURG DONNELL","HONG ASHER","260.03125","3","1"
"data.5","sim906","BRIONES BRANDON","MALONE BRODY","HONG ASHER","YOUNG KHOI","CHOU J.R.","259.207","2","2"
"data.6","sim907","JUDA PAUL","MALONE BRODY","HONG ASHER","MOLDAUER YUL","WISKUS SHANE","259.835","3","1"
"data.7","sim908","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","GUIMARAES VITALIY","WALKER COLT","259.48175","3","1"
"data.8","sim909","JUDA PAUL","PHILLIPS CURRAN","WALKER COLT","WHITTENBURG DONNELL","HONG ASHER","259.01075","2","2"
"data.9","sim910","MALONE BRODY","HONG ASHER","JUDA PAUL","CHOU J.R.","GUIMARAES VITALIY","257.4015","3","1"
"data.10","sim911","MALONE BRODY","RICHARD FRED","BURKHART TAYLOR","HONG ASHER","JUDA PAUL","258.93225","3","1"
"data.11","sim912","MALONE BRODY","RICHARD FRED","WISKUS SHANE","WHITTENBURG DONNELL","YOUNG KHOI","256.02775","4","0"
"data.12","sim913","MALONE BRODY","RICHARD FRED","JUDA PAUL","BOCK CAMERON","YOUNG KHOI","258.61825","2","2"
"data.13","sim914","JUDA PAUL","MALONE BRODY","MOLDAUER YUL","HONG ASHER","WISKUS SHANE","259.05","3","1"
"data.14","sim915","MALONE BRODY","WISKUS SHANE","YOUNG KHOI","WALKER COLT","WHITTENBURG DONNELL","258.1865","3","1"
"data.15","sim916","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","WALKER COLT","WHITTENBURG DONNELL","259.16775","2","2"
"data.16","sim917","LOOS RILEY","RICHARD FRED","JUDA PAUL","WISKUS SHANE","WALKER COLT","257.51925","3","1"
"data.17","sim918","RICHARD FRED","JUDA PAUL","CHOU J.R.","GUIMARAES VITALIY","HONG ASHER","258.893","3","1"
"data.18","sim919","MALONE BRODY","RICHARD FRED","MOLDAUER YUL","WHITTENBURG DONNELL","HONG ASHER","260.5415","1","3"
"data.19","sim920","BRIONES BRANDON","MALONE BRODY","PHILLIPS CURRAN","YOUNG KHOI","WALKER COLT","260.10975","2","2"
"data.20","sim921","MALONE BRODY","JUDA PAUL","MOLDAUER YUL","PHILLIPS CURRAN","YOUNG KHOI","260.2275","2","2"
"data.21","sim922","JUDA PAUL","MALONE BRODY","GUIMARAES VITALIY","HONG ASHER","YOUNG KHOI","259.835","3","1"
"data.22","sim923","MALONE BRODY","WALKER COLT","MOLDAUER YUL","YOUNG KHOI","WHITTENBURG DONNELL","259.2855","2","2"
"data.23","sim924","MALONE BRODY","JUDA PAUL","YOUNG KHOI","WHITTENBURG DONNELL","HONG ASHER","258.579","2","2"
"data.24","sim925","HONG ASHER","RICHARD FRED","WISKUS SHANE","MALONE BRODY","WHITTENBURG DONNELL","257.91175","3","1"
"data.25","sim926","WISKUS SHANE","RICHARD FRED","PHILLIPS CURRAN","GUIMARAES VITALIY","HONG ASHER","257.5585","4","0"
"data.26","sim927","MALONE BRODY","MOLDAUER YUL","RICHARD FRED","PHILLIPS CURRAN","WHITTENBURG DONNELL","260.463","3","1"
"data.27","sim928","MALONE BRODY","GUIMARAES VITALIY","WALKER COLT","JUDA PAUL","HONG ASHER","258.14725","3","1"
"data.28","sim929","JUDA PAUL","MALONE BRODY","BOCK CAMERON","HONG ASHER","YOUNG KHOI","261.091","3","1"
"data.29","sim930","GUIMARAES VITALIY","HONG ASHER","MOLDAUER YUL","RICHARD FRED","WHITTENBURG DONNELL","259.4425","2","2"
"data.30","sim931","MALONE BRODY","RICHARD FRED","HONG ASHER","SKIRKEY IAN","BRIONES BRANDON","259.7565","2","2"
"data.31","sim932","MALONE BRODY","RICHARD FRED","MOLDAUER YUL","YOUNG KHOI","JUDA PAUL","259.08925","3","1"
"data.32","sim933","JUDA PAUL","MALONE BRODY","GUIMARAES VITALIY","PHILLIPS CURRAN","YOUNG KHOI","258.14725","3","1"
"data.33","sim934","MALONE BRODY","RICHARD FRED","WISKUS SHANE","BOCK CAMERON","WALKER COLT","257.51925","3","1"
"data.34","sim935","PHILLIPS CURRAN","MALONE BRODY","MOLDAUER YUL","YOUNG KHOI","BRIONES BRANDON","257.28375","3","1"
"data.35","sim936","MALONE BRODY","WALKER COLT","WHITTENBURG DONNELL","HONG ASHER","NEDOROSCIK STEPHEN","257.48","3","1"
"data.36","sim937","JUDA PAUL","MALONE BRODY","MOLDAUER YUL","RICHARD FRED","BRIONES BRANDON","259.08925","3","1"
"data.37","sim938","MALONE BRODY","RICHARD FRED","WHITTENBURG DONNELL","YOUNG KHOI","MOLDAUER YUL","260.97325","3","1"
"data.38","sim939","BOCK CAMERON","RICHARD FRED","WALKER COLT","GUIMARAES VITALIY","HONG ASHER","258.22575","3","1"
"data.39","sim940","JUDA PAUL","MALONE BRODY","RICHARD FRED","SKIRKEY IAN","YOUNG KHOI","257.99025","2","2"
"data.40","sim941","RICHARD FRED","GUIMARAES VITALIY","WALKER COLT","MALONE BRODY","YOUNG KHOI","260.777","2","2"
"data.41","sim942","MALONE BRODY","RICHARD FRED","MOLDAUER YUL","PHILLIPS CURRAN","YOUNG KHOI","262.15075","1","3"
"data.42","sim943","MALONE BRODY","YOUNG KHOI","WALKER COLT","HONG ASHER","WHITTENBURG DONNELL","259.24625","3","1"
