"","sim148.X1","sim148.X2","sim148.X3","sim148.X4","sim148.X5","sim148.Country","sim148.score","sim148.rank","sim148.weight"
"1","HASHIMOTO DAIKI","TANIGAWA WATARU","KAMOTO YUYA","SUGINO TAKAAKI","TANIGAWA KAKERU","JPN",261.05175,1,3
"2","MALONE BRODY","RICHARD FRED","WHITTENBURG DONNELL","BOCK CAMERON","YOUNG KHOI","USA",259.364,2,2
"3","LIN CHAOPAN","ZHANG BOHENG","YIN DEHANG","LAN XINGYU","LIU YANG","CHN",259.1285,3,1
"4","FRASER JOE","JARMAN JAKE","WHITLOCK MAX","WHITEHOUSE LUKE","TULLOCH COURTNEY","GBR",255.87075,4,0
"5","ARICAN FERHAT","OENDER AHMET","ONDER AHMET","ASIL ADEM","KOSAK MEHMET","TUR",252.8485,5,0
"6","ABBADINI YUMIN","BONICELLI LORENZO","MACCHIATI MARIO","LODADIO MARCO","CASALI LORENZO","ITA",250.21875,6,0
"7","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","CLAY ZACHARY","CAN",249.35525,7,0
"8","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",248.49175,8,0
"9","BAUMANN CHRISTIAN","SEIFERT NOE","LANGENEGGER FLORIAN","RAUBAL IAN","SERHANI TAHA","SUI",248.09925,9,0
"10","DAUSER LUKAS","HOERR CARLO","HOSSEINI MILAN","DUNKEL NILS","KOCHAN LUCAS","GER",246.52925,10,0
"11","ABAD NESTOR","DIALLO THIERNO","MIR NICOLAU","PLATA JOEL","WILLIAMS JOSHUA","ESP",243.93875,11,0
