"","sim11.X1","sim11.X2","sim11.X3","sim11.X4","sim11.X5","sim11.Country","sim11.score","sim11.rank","sim11.weight"
"1","HASHIMOTO DAIKI","KOGA HIRAMATSU","SUGIMOTO KAITO","KAYA KAZUMA","TANIGAWA WATARU","JPN",261.83675,1,3
"2","SHI CONG","ZHANG BOHENG","YANG JIAXING","ZOU JINGYUAN","YOU HAO","CHN",260.0705,2,2
"3","HALL JAMES","JARMAN JAKE","KARNEJENKO PAVEL","FRASER JOE","TULLOCH COURTNEY","GBR",258.108,3,1
"4","JUDA PAUL","WALKER COLT","MOLDAUER YUL","RICHARD FRED","HONG ASHER","USA",257.323,4,0
"5","ASIL ADEM","OENDER AHMET","ONDER AHMET","ARICAN FERHAT","COLAK IBRAHIM","TUR",252.10275,5,0
"6","BONICELLI LORENZO","CASALI LORENZO","MACCHIATI MARIO","ROSA EDOARDO","LODADIO MARCO","ITA",250.68975,6,0
"7","DAUSER LUKAS","HOSSEINI MILAN","TREBING GLENN","DUNKEL NILS","KOCHAN LUCAS","GER",250.06175,7,0
"8","SERHANI SAMIR","SERHANI TAHA","TAMSEL DOMINIC","LANGENEGGER FLORIAN","RAUBAL IAN","SUI",247.746,8,0
"9","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",247.589,9,0
"10","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",245.234,10,0
"11","ABAD NESTOR","DIALLO THIERNO","JIMENEZ PAU","MIR NICOLAU","PLATA JOEL","ESP",244.292,11,0
