"","sim29.X1","sim29.X2","sim29.X3","sim29.X4","sim29.X5","sim29.Country","sim29.score","sim29.rank","sim29.weight"
"1","SUN WEI","ZHANG BOHENG","SHI CONG","SU WEIDE","ZOU JINGYUAN","CHN",259.79575,1,3
"2","DOI RYOSUKE","HASHIMOTO DAIKI","TANIGAWA WATARU","MINORI HARUKI","SUGINO TAKAAKI","JPN",259.2855,2,2
"3","MALONE BRODY","WHITTENBURG DONNELL","MOLDAUER YUL","YOUNG KHOI","HONG ASHER","USA",255.94925,3,1
"4","FRASER JOE","HALL JAMES","REGINI GIARNNI","LEWIS JAMIE","WHITLOCK MAX","GBR",255.282,4,0
"5","BONICELLI LORENZO","MACCHINI CARLO","ABBADINI YUMIN","MACCHIATI MARIO","LODADIO MARCO","ITA",250.0225,5,0
"6","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","CLAY ZACHARY","CAN",249.5515,6,0
"7","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","CHEPURNYI NAZAR","UKR",248.845,7,0
"8","ASIL ADEM","COLAK IBRAHIM","OENDER AHMET","ARICAN FERHAT","KOSAK MEHMET","TUR",248.4525,8,0
"9","KOCHAN LUCAS","BRENDEL PASCAL","DAUSER LUKAS","DUNKEL NILS","HOSSEINI MILAN","GER",248.41325,9,0
"10","SEIFERT NOE","SERHANI SAMIR","LANGENEGGER FLORIAN","SERHANI TAHA","BAUMANN CHRISTIAN","SUI",247.54975,10,0
"11","ABAD NESTOR","MIR NICOLAU","WILLIAMS JOSHUA","DIALLO THIERNO","PLATA JOEL","ESP",244.95925,11,0
