"","sim70.X1","sim70.X2","sim70.X3","sim70.X4","sim70.X5","sim70.Country","sim70.score","sim70.rank","sim70.weight"
"1","CHIBA KENTA","DOI RYOSUKE","HASHIMOTO DAIKI","TANIGAWA WATARU","KAYA KAZUMA","JPN",262.70025,1,3
"2","MALONE BRODY","RICHARD FRED","LOOS RILEY","MOLDAUER YUL","CHOU J.R.","USA",258.46125,2,2
"3","LIN CHAOPAN","SU WEIDE","ZHANG BOHENG","SHI CONG","LAN XINGYU","CHN",258.0295,3,1
"4","FRASER JOE","HALL JAMES","REGINI GIARNNI","TULLOCH COURTNEY","HEPWORTH HARRY","GBR",255.91,4,0
"5","ARICAN FERHAT","ASIL ADEM","ONDER AHMET","COLAK IBRAHIM","OENDER AHMET","TUR",250.92525,5,0
"6","BARTOLINI NICOLA","BONICELLI LORENZO","SARRUGERIO MARCO","LODADIO MARCO","ABBADINI YUMIN","ITA",250.729,6,0
"7","RAUBAL IAN","FREY ANDRIN","LANGENEGGER FLORIAN","SEIFERT NOE","BAUMANN CHRISTIAN","SUI",247.6675,7,0
"8","HOERR CARLO","TREBING GLENN","SCHULTZE TOM","DAUSER LUKAS","DUNKEL NILS","GER",246.49,8,0
"9","COURNOYER RENE","ZAKUTNEY SAM","DOLCI FELIX","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",246.29375,9,0
"10","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",244.9985,10,0
"11","ABAD NESTOR","MIR NICOLAU","PLATA JOEL","JIMENEZ PAU","DIALLO THIERNO","ESP",243.2715,11,0
