"","sim124.X1","sim124.X2","sim124.X3","sim124.X4","sim124.X5","sim124.Country","sim124.score","sim124.rank","sim124.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","MATSUMI KAZUKI","TANIGAWA KAKERU","MINORI HARUKI","JPN",261.75825,1,3
"2","JUDA PAUL","MALONE BRODY","MOLDAUER YUL","RICHARD FRED","YOUNG KHOI","USA",260.65925,2,2
"3","SHI CONG","SU WEIDE","ZHANG BOHENG","LIN CHAOPAN","ZOU JINGYUAN","CHN",260.42375,3,1
"4","HALL JAMES","TOBIN ADAM","JARMAN JAKE","FRASER JOE","LEWIS JAMIE","GBR",254.61475,4,0
"5","ARICAN FERHAT","ASIL ADEM","ONDER AHMET","OENDER AHMET","COLAK IBRAHIM","TUR",252.456,5,0
"6","ABBADINI YUMIN","BARTOLINI NICOLA","BONICELLI LORENZO","SARRUGERIO MARCO","LODADIO MARCO","ITA",249.787,6,0
"7","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","CHEPURNYI NAZAR","UKR",248.06,7,0
"8","SEIFERT NOE","SERHANI SAMIR","TAMSEL DOMINIC","FREY ANDRIN","RAUBAL IAN","SUI",247.903,8,0
"9","DAUSER LUKAS","SISSAKIS DARIO","TREBING GLENN","HOSSEINI MILAN","DUNKEL NILS","GER",247.6675,9,0
"10","COURNOYER RENE","EMARD WILLIAM","DOLCI FELIX","CLAY ZACHARY","RAMPERSAD JAYSON","CAN",246.961,10,0
"11","MIR NICOLAU","PLATA JOEL","ABAD NESTOR","DIALLO THIERNO","WILLIAMS JOSHUA","ESP",244.72375,11,0
