"","sim106.X1","sim106.X2","sim106.X3","sim106.X4","sim106.X5","sim106.Country","sim106.score","sim106.rank","sim106.weight"
"1","HASHIMOTO DAIKI","KAMOTO YUYA","DOI RYOSUKE","TANIGAWA WATARU","CHIBA KENTA","JPN",261.52275,1,3
"2","SHI CONG","SUN WEI","SU WEIDE","ZHANG BOHENG","LAN XINGYU","CHN",259.9135,2,2
"3","MALONE BRODY","PHILLIPS CURRAN","GUIMARAES VITALIY","RICHARD FRED","WISKUS SHANE","USA",258.579,3,1
"4","HALL JAMES","JARMAN JAKE","REGINI GIARNNI","FRASER JOE","TULLOCH COURTNEY","GBR",252.41675,4,0
"5","BONICELLI LORENZO","BARTOLINI NICOLA","MACCHIATI MARIO","ROSA EDOARDO","MARESCA SALVATORE","ITA",251.39625,5,0
"6","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","VASHCHENKO ROMAN","UKR",249.944,6,0
"7","ARICAN FERHAT","ASIL ADEM","OENDER AHMET","COLAK IBRAHIM","KOSAK MEHMET","TUR",249.43375,7,0
"8","DAUSER LUKAS","KOCHAN LUCAS","HOSSEINI MILAN","TREBING GLENN","BRENDEL PASCAL","GER",248.41325,8,0
"9","COURNOYER RENE","EMARD WILLIAM","ZAKUTNEY SAM","DOLCI FELIX","CLAY ZACHARY","CAN",247.6675,9,0
"10","SEIFERT NOE","SERHANI TAHA","LANGENEGGER FLORIAN","SERHANI SAMIR","TAMSEL DOMINIC","SUI",247.23575,10,0
"11","ABAD NESTOR","JIMENEZ PAU","MIR NICOLAU","PLATA JOEL","DIALLO THIERNO","ESP",245.9405,11,0
