"","sim110.X1","sim110.X2","sim110.X3","sim110.X4","sim110.X5","sim110.Country","sim110.score","sim110.rank","sim110.weight"
"1","SHI CONG","ZHANG BOHENG","SUN WEI","YOU HAO","ZOU JINGYUAN","CHN",262.70025,1,3
"2","CHIBA KENTA","DOI RYOSUKE","HASHIMOTO DAIKI","MAEDA KOKI","RYOTA TSUMURA","JPN",262.504,2,2
"3","HONG ASHER","MALONE BRODY","GUIMARAES VITALIY","RICHARD FRED","WALKER COLT","USA",259.521,3,1
"4","FRASER JOE","HALL JAMES","JARMAN JAKE","LEWIS JAMIE","WHITLOCK MAX","GBR",254.77175,4,0
"5","ASIL ADEM","ONDER AHMET","ARICAN FERHAT","OENDER AHMET","COLAK IBRAHIM","TUR",250.21875,5,0
"6","ABBADINI YUMIN","VANNUCCHI NICCOLO","MACCHIATI MARIO","SARRUGERIO MARCO","CASALI LORENZO","ITA",250.1795,6,0
"7","SERHANI SAMIR","SERHANI TAHA","FREY ANDRIN","BAUMANN CHRISTIAN","TAMSEL DOMINIC","SUI",248.374,7,0
"8","BRENDEL PASCAL","DAUSER LUKAS","SISSAKIS DARIO","DUNKEL NILS","TREBING GLENN","GER",248.217,8,0
"9","COURNOYER RENE","EMARD WILLIAM","ZAKUTNEY SAM","DOLCI FELIX","CLAY ZACHARY","CAN",246.5685,9,0
"10","ABAD NESTOR","MIR NICOLAU","PLATA JOEL","JIMENEZ PAU","DIALLO THIERNO","ESP",245.35175,10,0
"11","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","CHEPURNYI NAZAR","UKR",244.606,11,0
