"","sim107.X1","sim107.X2","sim107.X3","sim107.X4","sim107.X5","sim107.Country","sim107.score","sim107.rank","sim107.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","KAYA KAZUMA","TANIGAWA KAKERU","MINORI HARUKI","JPN",261.4835,1,3
"2","SU WEIDE","ZHANG BOHENG","ZOU JINGYUAN","SUN WEI","LAN XINGYU","CHN",260.97325,2,2
"3","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","WALKER COLT","GUIMARAES VITALIY","USA",256.1455,3,1
"4","FRASER JOE","HALL JAMES","REGINI GIARNNI","JARMAN JAKE","TULLOCH COURTNEY","GBR",255.6745,4,0
"5","ASIL ADEM","ONDER AHMET","ARICAN FERHAT","OENDER AHMET","COLAK IBRAHIM","TUR",251.2785,5,0
"6","MOZZATO NICOLO","BARTOLINI NICOLA","CASALI LORENZO","LEVANTESI MATTEO","MACCHIATI MARIO","ITA",250.8075,6,0
"7","ABAD NESTOR","JIMENEZ PAU","PLATA JOEL","DIALLO THIERNO","MIR NICOLAU","ESP",248.217,7,0
"8","BRENDEL PASCAL","DAUSER LUKAS","HOSSEINI MILAN","TREBING GLENN","KOCHAN LUCAS","GER",248.09925,8,0
"9","RAUBAL IAN","SEIFERT NOE","LANGENEGGER FLORIAN","SERHANI TAHA","BAUMANN CHRISTIAN","SUI",247.3535,9,0
"10","COURNOYER RENE","EMARD WILLIAM","DOLCI FELIX","RAMPERSAD JAYSON","CLAY ZACHARY","CAN",246.76475,10,0
"11","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","VASHCHENKO ROMAN","UKR",240.48475,11,0
