"","sim117.X1","sim117.X2","sim117.X3","sim117.X4","sim117.X5","sim117.Country","sim117.score","sim117.rank","sim117.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","TANIGAWA KAKERU","KAYA KAZUMA","MINORI HARUKI","JPN",262.2685,1,3
"2","LIN CHAOPAN","YANG JIAXING","SHI CONG","SUN WEI","LAN XINGYU","CHN",259.63875,2,2
"3","RICHARD FRED","WISKUS SHANE","MALONE BRODY","WALKER COLT","YOUNG KHOI","USA",259.4425,3,1
"4","HALL JAMES","JARMAN JAKE","REGINI GIARNNI","FRASER JOE","WHITLOCK MAX","GBR",255.596,4,0
"5","ARICAN FERHAT","ASIL ADEM","OENDER AHMET","ONDER AHMET","KOSAK MEHMET","TUR",253.9475,5,0
"6","MOZZATO NICOLO","BARTOLINI NICOLA","MACCHIATI MARIO","ROSA EDOARDO","LODADIO MARCO","ITA",251.2,6,0
"7","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","VASHCHENKO ROMAN","UKR",249.19825,7,0
"8","COURNOYER RENE","EMARD WILLIAM","ZAKUTNEY SAM","CLAY ZACHARY","RAMPERSAD JAYSON","CAN",248.1385,8,0
"9","SERHANI TAHA","TAMSEL DOMINIC","LANGENEGGER FLORIAN","SEIFERT NOE","BAUMANN CHRISTIAN","SUI",247.94225,9,0
"10","HOERR CARLO","KOCHAN LUCAS","DAUSER LUKAS","HOSSEINI MILAN","DUNKEL NILS","GER",245.97975,10,0
"11","ABAD NESTOR","WILLIAMS JOSHUA","MIR NICOLAU","PLATA JOEL","DIALLO THIERNO","ESP",244.17425,11,0
