"","sim115.X1","sim115.X2","sim115.X3","sim115.X4","sim115.X5","sim115.Country","sim115.score","sim115.rank","sim115.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","KAYA KAZUMA","TANIGAWA WATARU","SUGINO TAKAAKI","JPN",261.60125,1,3
"2","JUDA PAUL","MOLDAUER YUL","YOUNG KHOI","PHILLIPS CURRAN","MALONE BRODY","USA",259.9135,2,2
"3","SUN WEI","ZHANG BOHENG","YANG JIAXING","YIN DEHANG","LAN XINGYU","CHN",259.9135,3,1
"4","FRASER JOE","REGINI GIARNNI","TULLOCH COURTNEY","WHITLOCK MAX","JARMAN JAKE","GBR",257.009,4,0
"5","BARTOLINI NICOLA","BONICELLI LORENZO","ABBADINI YUMIN","LODADIO MARCO","CASALI LORENZO","ITA",249.74775,5,0
"6","BRENDEL PASCAL","DAUSER LUKAS","HOSSEINI MILAN","DUNKEL NILS","HOERR CARLO","GER",248.64875,6,0
"7","ASIL ADEM","OENDER AHMET","ARICAN FERHAT","ONDER AHMET","KOSAK MEHMET","TUR",247.432,7,0
"8","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","CHEPURNYI NAZAR","RADIVILOV IGOR","UKR",246.92175,8,0
"9","JIMENEZ PAU","MIR NICOLAU","PLATA JOEL","DIALLO THIERNO","ABAD NESTOR","ESP",246.60775,9,0
"10","COURNOYER RENE","EMARD WILLIAM","ZAKUTNEY SAM","CLAY ZACHARY","RAMPERSAD JAYSON","CAN",246.45075,10,0
"11","SEIFERT NOE","FREY ANDRIN","RAUBAL IAN","TAMSEL DOMINIC","LANGENEGGER FLORIAN","SUI",246.21525,11,0
