"","sim129.X1","sim129.X2","sim129.X3","sim129.X4","sim129.X5","sim129.Country","sim129.score","sim129.rank","sim129.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","TANIGAWA KAKERU","RYOTA TSUMURA","MATSUMI KAZUKI","JPN",262.70025,1,3
"2","SHI CONG","ZHANG BOHENG","YANG JIAXING","ZOU JINGYUAN","LAN XINGYU","CHN",260.97325,2,2
"3","JUDA PAUL","MALONE BRODY","RICHARD FRED","PHILLIPS CURRAN","WHITTENBURG DONNELL","USA",259.79575,3,1
"4","FRASER JOE","HALL JAMES","JARMAN JAKE","REGINI GIARNNI","TULLOCH COURTNEY","GBR",256.224,4,0
"5","ASIL ADEM","OENDER AHMET","ONDER AHMET","ARICAN FERHAT","COLAK IBRAHIM","TUR",253.9475,5,0
"6","CASALI LORENZO","BARTOLINI NICOLA","MOZZATO NICOLO","MACCHIATI MARIO","MARESCA SALVATORE","ITA",250.84675,6,0
"7","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",248.33475,7,0
"8","CLAY ZACHARY","COURNOYER RENE","ZAKUTNEY SAM","DOLCI FELIX","EMARD WILLIAM","CAN",247.23575,8,0
"9","DAUSER LUKAS","HOSSEINI MILAN","TREBING GLENN","HOERR CARLO","DUNKEL NILS","GER",247.1965,9,0
"10","ABAD NESTOR","PLATA JOEL","JIMENEZ PAU","MIR NICOLAU","DIALLO THIERNO","ESP",246.804,10,0
"11","BAUMANN CHRISTIAN","SERHANI TAHA","RAUBAL IAN","SEIFERT NOE","SERHANI SAMIR","SUI",245.58725,11,0
