"","sim84.X1","sim84.X2","sim84.X3","sim84.X4","sim84.X5","sim84.Country","sim84.score","sim84.rank","sim84.weight"
"1","SHI CONG","SU WEIDE","YIN DEHANG","ZHANG BOHENG","LAN XINGYU","CHN",261.1695,1,3
"2","DOI RYOSUKE","KAYA KAZUMA","TANIGAWA WATARU","HASHIMOTO DAIKI","RYOTA TSUMURA","JPN",259.7565,2,2
"3","BOCK CAMERON","JUDA PAUL","MALONE BRODY","KARNES JOSHUA","MOLDAUER YUL","USA",257.637,3,1
"4","FRASER JOE","REGINI GIARNNI","HALL JAMES","KARNEJENKO PAVEL","TULLOCH COURTNEY","GBR",253.4765,4,0
"5","LEVANTESI MATTEO","MOZZATO NICOLO","ABBADINI YUMIN","ROSA EDOARDO","MACCHIATI MARIO","ITA",251.7495,5,0
"6","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",250.258,6,0
"7","ARICAN FERHAT","ASIL ADEM","ONDER AHMET","OENDER AHMET","GUNDOGDU YUNUS","TUR",249.74775,7,0
"8","BRENDEL PASCAL","DAUSER LUKAS","DUNKEL NILS","TREBING GLENN","SCHULTZE TOM","GER",248.57025,8,0
"9","BAUMANN CHRISTIAN","SEIFERT NOE","RAUBAL IAN","SERHANI SAMIR","SERHANI TAHA","SUI",248.217,9,0
"10","COURNOYER RENE","DOLCI FELIX","EMARD WILLIAM","CLAY ZACHARY","RAMPERSAD JAYSON","CAN",247.903,10,0
"11","ABAD NESTOR","DIALLO THIERNO","JIMENEZ PAU","MIR NICOLAU","PLATA JOEL","ESP",246.4115,11,0
