"","sim19.X1","sim19.X2","sim19.X3","sim19.X4","sim19.X5","sim19.Country","sim19.score","sim19.rank","sim19.weight"
"1","HASHIMOTO DAIKI","MINAMI KAZUKI","HASEGAWA TSUYOSHI","RYOTA TSUMURA","KAYA KAZUMA","JPN",260.97325,1,3
"2","MALONE BRODY","JUDA PAUL","WISKUS SHANE","WALKER COLT","YOUNG KHOI","USA",258.53975,2,2
"3","SHI CONG","SU WEIDE","YANG JIAXING","ZHANG BOHENG","LAN XINGYU","CHN",257.951,3,1
"4","JARMAN JAKE","FRASER JOE","NATHAN JOSHUA","WHITLOCK MAX","TULLOCH COURTNEY","GBR",253.6335,4,0
"5","ASIL ADEM","OENDER AHMET","ARICAN FERHAT","COLAK IBRAHIM","GUNDOGDU YUNUS","TUR",251.47475,5,0
"6","ABBADINI YUMIN","BARTOLINI NICOLA","LEVANTESI MATTEO","ROSA EDOARDO","LODADIO MARCO","ITA",250.68975,6,0
"7","BAUMANN CHRISTIAN","SERHANI TAHA","TAMSEL DOMINIC","SEIFERT NOE","SERHANI SAMIR","SUI",249.7085,7,0
"8","DAUSER LUKAS","HOSSEINI MILAN","KUNZ ALEXANDER","KOCHAN LUCAS","TREBING GLENN","GER",248.531,8,0
"9","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","CLAY ZACHARY","CAN",246.76475,9,0
"10","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",246.45075,10,0
"11","ABAD NESTOR","WILLIAMS JOSHUA","MIR NICOLAU","DIALLO THIERNO","PLATA JOEL","ESP",244.606,11,0
