"","sim36.X1","sim36.X2","sim36.X3","sim36.X4","sim36.X5","sim36.Country","sim36.score","sim36.rank","sim36.weight"
"1","DOI RYOSUKE","MAEDA KOKI","CHIBA KENTA","KAYA KAZUMA","TANIGAWA WATARU","JPN",261.1695,1,3
"2","ZHANG BOHENG","SU WEIDE","SHI CONG","LAN XINGYU","LIU YANG","CHN",259.32475,2,2
"3","MALONE BRODY","HONG ASHER","PHILLIPS CURRAN","GUIMARAES VITALIY","WHITTENBURG DONNELL","USA",256.852,3,1
"4","HALL JAMES","FRASER JOE","WHITLOCK MAX","HEPWORTH HARRY","JARMAN JAKE","GBR",252.18125,4,0
"5","ABBADINI YUMIN","MOZZATO NICOLO","BARTOLINI NICOLA","MACCHIATI MARIO","SARRUGERIO MARCO","ITA",249.98325,5,0
"6","ASIL ADEM","OENDER AHMET","ONDER AHMET","ARICAN FERHAT","COLAK IBRAHIM","TUR",249.19825,6,0
"7","SEIFERT NOE","SERHANI SAMIR","TAMSEL DOMINIC","RAUBAL IAN","BAUMANN CHRISTIAN","SUI",248.49175,7,0
"8","BRENDEL PASCAL","HOERR CARLO","KOCHAN LUCAS","TREBING GLENN","DAUSER LUKAS","GER",248.02075,8,0
"9","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","RADIVILOV IGOR","VASHCHENKO ROMAN","UKR",247.5105,9,0
"10","ABAD NESTOR","MIR NICOLAU","PLATA JOEL","DIALLO THIERNO","JIMENEZ PAU","ESP",247.432,10,0
"11","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",245.90125,11,0
