"","sim38.X1","sim38.X2","sim38.X3","sim38.X4","sim38.X5","sim38.Country","sim38.score","sim38.rank","sim38.weight"
"1","SHI CONG","SU WEIDE","LAN XINGYU","ZHANG BOHENG","ZOU JINGYUAN","CHN",260.934,1,3
"2","HASHIMOTO DAIKI","DOI RYOSUKE","TANIGAWA WATARU","RYOTA TSUMURA","KAMOTO YUYA","JPN",260.2275,2,2
"3","HONG ASHER","MALONE BRODY","GUIMARAES VITALIY","HALE DALLAS","YOUNG KHOI","USA",259.40325,3,1
"4","FRASER JOE","HALL JAMES","WHITEHOUSE LUKE","WHITLOCK MAX","LEWIS JAMIE","GBR",254.37925,4,0
"5","CHEPURNYI NAZAR","PAKHNIUK PETRO","STELMAKH RADOMYR","KOVTUN ILLIA","RADIVILOV IGOR","UKR",251.514,5,0
"6","SERHANI TAHA","TAMSEL DOMINIC","LANGENEGGER FLORIAN","SEIFERT NOE","SERHANI SAMIR","SUI",251.4355,6,0
"7","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",248.845,7,0
"8","ABBADINI YUMIN","CASALI LORENZO","MACCHIATI MARIO","BONICELLI LORENZO","LODADIO MARCO","ITA",248.49175,8,0
"9","KOCHAN LUCAS","DAUSER LUKAS","HOSSEINI MILAN","TREBING GLENN","BRENDEL PASCAL","GER",248.1385,9,0
"10","ASIL ADEM","OENDER AHMET","ARICAN FERHAT","COLAK IBRAHIM","KOSAK MEHMET","TUR",247.275,10,0
"11","ABAD NESTOR","PLATA JOEL","WILLIAMS JOSHUA","DIALLO THIERNO","JIMENEZ PAU","ESP",245.11625,11,0
