"","sim40.X1","sim40.X2","sim40.X3","sim40.X4","sim40.X5","sim40.Country","sim40.score","sim40.rank","sim40.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","KAMOTO YUYA","KAYA KAZUMA","RYOTA TSUMURA","JPN",263.24975,1,3
"2","JUDA PAUL","MALONE BRODY","WISKUS SHANE","MOLDAUER YUL","YOUNG KHOI","USA",261.20875,2,2
"3","SHI CONG","ZHANG BOHENG","SUN WEI","YANG JIAXING","YIN DEHANG","CHN",260.777,3,1
"4","FRASER JOE","REGINI GIARNNI","WHITLOCK MAX","TULLOCH COURTNEY","JARMAN JAKE","GBR",256.42025,4,0
"5","ARICAN FERHAT","ASIL ADEM","OENDER AHMET","COLAK IBRAHIM","GUNDOGDU YUNUS","TUR",251.2,5,0
"6","SEIFERT NOE","SERHANI TAHA","LANGENEGGER FLORIAN","TAMSEL DOMINIC","SERHANI SAMIR","SUI",249.473,6,0
"7","DAUSER LUKAS","BRENDEL PASCAL","KOCHAN LUCAS","DUNKEL NILS","TREBING GLENN","GER",249.43375,7,0
"8","ABBADINI YUMIN","BARTOLINI NICOLA","CASALI LORENZO","SARRUGERIO MARCO","ROSA EDOARDO","ITA",249.35525,8,0
"9","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",248.57025,9,0
"10","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","KAJI CHRIS","CLAY ZACHARY","CAN",246.52925,10,0
"11","ABAD NESTOR","MIR NICOLAU","PLATA JOEL","DIALLO THIERNO","WILLIAMS JOSHUA","ESP",244.17425,11,0
