"","sim42.X1","sim42.X2","sim42.X3","sim42.X4","sim42.X5","sim42.Country","sim42.score","sim42.rank","sim42.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","TANIGAWA KAKERU","SUGIMOTO KAITO","KAYA KAZUMA","JPN",260.73775,1,3
"2","LIN CHAOPAN","SHI CONG","ZHANG BOHENG","SU WEIDE","LAN XINGYU","CHN",259.992,2,2
"3","MALONE BRODY","RICHARD FRED","WISKUS SHANE","HONG ASHER","JUDA PAUL","USA",259.521,3,1
"4","FRASER JOE","HALL JAMES","TULLOCH COURTNEY","JARMAN JAKE","WHITLOCK MAX","GBR",256.49875,4,0
"5","BONICELLI LORENZO","LEVANTESI MATTEO","MOZZATO NICOLO","BARTOLINI NICOLA","LODADIO MARCO","ITA",251.86725,5,0
"6","ARICAN FERHAT","ASIL ADEM","ONDER AHMET","OENDER AHMET","COLAK IBRAHIM","TUR",250.415,6,0
"7","HOERR CARLO","DAUSER LUKAS","DUNKEL NILS","TREBING GLENN","HOSSEINI MILAN","GER",248.6095,7,0
"8","BAUMANN CHRISTIAN","SEIFERT NOE","FREY ANDRIN","LANGENEGGER FLORIAN","SERHANI SAMIR","SUI",248.49175,8,0
"9","COURNOYER RENE","ZAKUTNEY SAM","DOLCI FELIX","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",247.94225,9,0
"10","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",246.92175,10,0
"11","ABAD NESTOR","JIMENEZ PAU","PLATA JOEL","MIR NICOLAU","DIALLO THIERNO","ESP",245.03775,11,0
