"","sim86.X1","sim86.X2","sim86.X3","sim86.X4","sim86.X5","sim86.Country","sim86.score","sim86.rank","sim86.weight"
"1","HASHIMOTO DAIKI","KAYA KAZUMA","SUGINO TAKAAKI","TANIGAWA WATARU","KAMOTO YUYA","JPN",262.15075,1,3
"2","SHI CONG","ZHANG BOHENG","YANG JIAXING","YOU HAO","LAN XINGYU","CHN",260.777,2,2
"3","JUDA PAUL","GUIMARAES VITALIY","HALE DALLAS","NEDOROSCIK STEPHEN","HONG ASHER","USA",259.364,3,1
"4","FRASER JOE","HALL JAMES","LEWIS JAMIE","TOBIN ADAM","TULLOCH COURTNEY","GBR",253.869,4,0
"5","ARICAN FERHAT","ASIL ADEM","COLAK IBRAHIM","ONDER AHMET","GUNDOGDU YUNUS","TUR",252.613,5,0
"6","BONICELLI LORENZO","CASALI LORENZO","MACCHIATI MARIO","LODADIO MARCO","MARESCA SALVATORE","ITA",248.96275,6,0
"7","BRENDEL PASCAL","HOSSEINI MILAN","DAUSER LUKAS","DUNKEL NILS","KOCHAN LUCAS","GER",247.62825,7,0
"8","COURNOYER RENE","KAJI CHRIS","ZAKUTNEY SAM","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",246.0975,8,0
"9","ABAD NESTOR","JIMENEZ PAU","PLATA JOEL","DIALLO THIERNO","MIR NICOLAU","ESP",245.74425,9,0
"10","BAUMANN CHRISTIAN","SERHANI SAMIR","SERHANI TAHA","LANGENEGGER FLORIAN","SEIFERT NOE","SUI",245.4695,10,0
"11","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","VASHCHENKO ROMAN","UKR",243.38925,11,0
