"","sim100.X1","sim100.X2","sim100.X3","sim100.X4","sim100.X5","sim100.Country","sim100.score","sim100.rank","sim100.weight"
"1","SHI CONG","ZHANG BOHENG","SU WEIDE","YIN DEHANG","LAN XINGYU","CHN",262.033,1,3
"2","KAMOTO YUYA","HASHIMOTO DAIKI","KAYA KAZUMA","TANIGAWA KAKERU","RYOTA TSUMURA","JPN",261.13025,2,2
"3","MALONE BRODY","RICHARD FRED","YOUNG KHOI","WALKER COLT","WHITTENBURG DONNELL","USA",259.1285,3,1
"4","FRASER JOE","REGINI GIARNNI","KARNEJENKO PAVEL","LEWIS JAMIE","JARMAN JAKE","GBR",253.51575,4,0
"5","DAUSER LUKAS","TREBING GLENN","BRENDEL PASCAL","KOCHAN LUCAS","DUNKEL NILS","GER",250.886,5,0
"6","ABBADINI YUMIN","BONICELLI LORENZO","CASALI LORENZO","MOZZATO NICOLO","ROSA EDOARDO","ITA",250.258,6,0
"7","BAUMANN CHRISTIAN","SEIFERT NOE","SERHANI TAHA","LANGENEGGER FLORIAN","SERHANI SAMIR","SUI",249.63,7,0
"8","ARICAN FERHAT","ASIL ADEM","ONDER AHMET","COLAK IBRAHIM","OENDER AHMET","TUR",249.002,8,0
"9","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",248.9235,9,0
"10","DOLCI FELIX","EMARD WILLIAM","ZAKUTNEY SAM","COURNOYER RENE","RAMPERSAD JAYSON","CAN",246.21525,10,0
"11","ABAD NESTOR","JIMENEZ PAU","WILLIAMS JOSHUA","MIR NICOLAU","PLATA JOEL","ESP",245.548,11,0
