"","sim141.X1","sim141.X2","sim141.X3","sim141.X4","sim141.X5","sim141.Country","sim141.score","sim141.rank","sim141.weight"
"1","CHIBA KENTA","HASHIMOTO DAIKI","TANIGAWA WATARU","RYOTA TSUMURA","KAYA KAZUMA","JPN",261.9545,1,3
"2","SHI CONG","YANG JIAXING","SUN WEI","ZHANG BOHENG","LIU YANG","CHN",261.7975,2,2
"3","MALONE BRODY","RICHARD FRED","JUDA PAUL","MOLDAUER YUL","PHILLIPS CURRAN","USA",259.1285,3,1
"4","FRASER JOE","TULLOCH COURTNEY","WHITLOCK MAX","JARMAN JAKE","LEWIS JAMIE","GBR",253.241,4,0
"5","ABBADINI YUMIN","BARTOLINI NICOLA","LEVANTESI MATTEO","ROSA EDOARDO","LODADIO MARCO","ITA",250.76825,5,0
"6","ASIL ADEM","OENDER AHMET","ARICAN FERHAT","COLAK IBRAHIM","KOSAK MEHMET","TUR",249.159,6,0
"7","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","CLAY ZACHARY","CAN",248.7665,7,0
"8","BRENDEL PASCAL","HOERR CARLO","HOSSEINI MILAN","DAUSER LUKAS","DUNKEL NILS","GER",248.4525,8,0
"9","ABAD NESTOR","MIR NICOLAU","PLATA JOEL","JIMENEZ PAU","DIALLO THIERNO","ESP",247.23575,9,0
"10","BAUMANN CHRISTIAN","SERHANI TAHA","LANGENEGGER FLORIAN","RAUBAL IAN","SERHANI SAMIR","SUI",246.49,10,0
"11","KOVTUN ILLIA","PAKHNIUK PETRO","RADIVILOV IGOR","VASHCHENKO ROMAN","STELMAKH RADOMYR","UKR",242.0155,11,0
