"","sim105.X1","sim105.X2","sim105.X3","sim105.X4","sim105.X5","sim105.Country","sim105.score","sim105.rank","sim105.weight"
"1","CHIBA KENTA","KAYA KAZUMA","HASHIMOTO DAIKI","TANIGAWA WATARU","SUGINO TAKAAKI","JPN",262.85725,1,3
"2","SHI CONG","ZHANG BOHENG","YANG JIAXING","LAN XINGYU","LIU YANG","CHN",260.26675,2,2
"3","FRASER JOE","HALL JAMES","JARMAN JAKE","REGINI GIARNNI","TULLOCH COURTNEY","GBR",259.1285,3,1
"4","MOLDAUER YUL","CHOU J.R.","HONG ASHER","YOUNG KHOI","BURKHART TAYLOR","USA",258.30425,4,0
"5","ASIL ADEM","OENDER AHMET","ONDER AHMET","ARICAN FERHAT","COLAK IBRAHIM","TUR",251.985,5,0
"6","MOZZATO NICOLO","BARTOLINI NICOLA","ABBADINI YUMIN","SARRUGERIO MARCO","ROSA EDOARDO","ITA",250.9645,6,0
"7","FREY ANDRIN","SERHANI TAHA","TAMSEL DOMINIC","LANGENEGGER FLORIAN","SEIFERT NOE","SUI",250.14025,7,0
"8","DAUSER LUKAS","BRENDEL PASCAL","HOSSEINI MILAN","KOCHAN LUCAS","SCHULTZE TOM","GER",247.07875,8,0
"9","ABAD NESTOR","DIALLO THIERNO","MIR NICOLAU","JIMENEZ PAU","PLATA JOEL","ESP",246.21525,9,0
"10","COURNOYER RENE","ZAKUTNEY SAM","DOLCI FELIX","EMARD WILLIAM","CLAY ZACHARY","CAN",244.95925,10,0
"11","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",244.56675,11,0
