"","sim69.X1","sim69.X2","sim69.X3","sim69.X4","sim69.X5","sim69.Country","sim69.score","sim69.rank","sim69.weight"
"1","HASHIMOTO DAIKI","KAMOTO YUYA","TANIGAWA KAKERU","SUGIMOTO KAITO","TANIGAWA WATARU","JPN",260.3845,1,3
"2","LIN CHAOPAN","SUN WEI","ZHANG BOHENG","YIN DEHANG","LAN XINGYU","CHN",259.835,2,2
"3","MALONE BRODY","WISKUS SHANE","WHITTENBURG DONNELL","HONG ASHER","YOCKERS IGNACIO","USA",257.48,3,1
"4","FRASER JOE","REGINI GIARNNI","TOBIN ADAM","JARMAN JAKE","LEWIS JAMIE","GBR",254.8895,4,0
"5","ARICAN FERHAT","ASIL ADEM","OENDER AHMET","ONDER AHMET","KOSAK MEHMET","TUR",251.55325,5,0
"6","COURNOYER RENE","ZAKUTNEY SAM","EMARD WILLIAM","CLAY ZACHARY","RAMPERSAD JAYSON","CAN",250.101,6,0
"7","CASALI LORENZO","MACCHINI CARLO","VANNUCCHI NICCOLO","BONICELLI LORENZO","SARRUGERIO MARCO","ITA",249.82625,7,0
"8","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","RADIVILOV IGOR","STELMAKH RADOMYR","UKR",247.8245,8,0
"9","BRENDEL PASCAL","TREBING GLENN","SCHULTZE TOM","DUNKEL NILS","KOCHAN LUCAS","GER",247.39275,9,0
"10","SEIFERT NOE","TAMSEL DOMINIC","LANGENEGGER FLORIAN","SERHANI SAMIR","BAUMANN CHRISTIAN","SUI",246.0975,10,0
"11","ABAD NESTOR","PLATA JOEL","WILLIAMS JOSHUA","DIALLO THIERNO","MIR NICOLAU","ESP",244.8415,11,0
