"","sim132.X1","sim132.X2","sim132.X3","sim132.X4","sim132.X5","sim132.Country","sim132.score","sim132.rank","sim132.weight"
"1","SHI CONG","SUN WEI","ZHANG BOHENG","LAN XINGYU","LIU YANG","CHN",264.19175,1,3
"2","KAYA KAZUMA","HASHIMOTO DAIKI","KAMOTO YUYA","TANIGAWA WATARU","RYOTA TSUMURA","JPN",262.46475,2,2
"3","MALONE BRODY","RICHARD FRED","HONG ASHER","JUDA PAUL","WHITTENBURG DONNELL","USA",259.48175,3,1
"4","FRASER JOE","HALL JAMES","REGINI GIARNNI","TULLOCH COURTNEY","JARMAN JAKE","GBR",258.1865,4,0
"5","OENDER AHMET","ONDER AHMET","ARICAN FERHAT","COLAK IBRAHIM","ASIL ADEM","TUR",251.71025,5,0
"6","LEVANTESI MATTEO","BARTOLINI NICOLA","CASALI LORENZO","LODADIO MARCO","MARESCA SALVATORE","ITA",250.84675,6,0
"7","BAUMANN CHRISTIAN","SEIFERT NOE","FREY ANDRIN","LANGENEGGER FLORIAN","TAMSEL DOMINIC","SUI",249.04125,7,0
"8","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",248.33475,8,0
"9","CLAY ZACHARY","COURNOYER RENE","DOLCI FELIX","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",247.54975,9,0
"10","TREBING GLENN","BRENDEL PASCAL","HOSSEINI MILAN","KOCHAN LUCAS","DAUSER LUKAS","GER",246.45075,10,0
"11","ABAD NESTOR","PLATA JOEL","MIR NICOLAU","WILLIAMS JOSHUA","DIALLO THIERNO","ESP",246.2545,11,0
