"","sim104.X1","sim104.X2","sim104.X3","sim104.X4","sim104.X5","sim104.Country","sim104.score","sim104.rank","sim104.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","SUGIMOTO KAITO","TANIGAWA WATARU","KAYA KAZUMA","JPN",261.4835,1,3
"2","ZHANG BOHENG","SHI CONG","YANG JIAXING","YIN DEHANG","ZOU JINGYUAN","CHN",260.03125,2,2
"3","FRASER JOE","HALL JAMES","REGINI GIARNNI","JARMAN JAKE","TULLOCH COURTNEY","GBR",257.12675,3,1
"4","JUDA PAUL","MALONE BRODY","RICHARD FRED","WISKUS SHANE","YOUNG KHOI","USA",256.81275,4,0
"5","COURNOYER RENE","DOLCI FELIX","EMARD WILLIAM","CLAY ZACHARY","RAMPERSAD JAYSON","CAN",250.886,5,0
"6","BARTOLINI NICOLA","MACCHIATI MARIO","LEVANTESI MATTEO","ROSA EDOARDO","LODADIO MARCO","ITA",248.25625,6,0
"7","ARICAN FERHAT","ASIL ADEM","OENDER AHMET","GUNDOGDU YUNUS","COLAK IBRAHIM","TUR",247.54975,7,0
"8","BRENDEL PASCAL","DAUSER LUKAS","HOSSEINI MILAN","TREBING GLENN","DUNKEL NILS","GER",247.432,8,0
"9","MIR NICOLAU","PLATA JOEL","WILLIAMS JOSHUA","ABAD NESTOR","DIALLO THIERNO","ESP",246.60775,9,0
"10","RAUBAL IAN","TAMSEL DOMINIC","LANGENEGGER FLORIAN","SEIFERT NOE","BAUMANN CHRISTIAN","SUI",245.97975,10,0
"11","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","CHEPURNYI NAZAR","RADIVILOV IGOR","UKR",244.64525,11,0
