"","sim10.X1","sim10.X2","sim10.X3","sim10.X4","sim10.X5","sim10.Country","sim10.score","sim10.rank","sim10.weight"
"1","SHI CONG","SUN WEI","ZHANG BOHENG","YANG JIAXING","ZOU JINGYUAN","CHN",261.36575,1,3
"2","MALONE BRODY","RICHARD FRED","GUIMARAES VITALIY","YOUNG KHOI","MOLDAUER YUL","USA",259.71725,2,2
"3","DOI RYOSUKE","HASHIMOTO DAIKI","TANIGAWA KAKERU","MINAMI KAZUKI","MINORI HARUKI","JPN",258.9715,3,1
"4","FRASER JOE","HALL JAMES","REGINI GIARNNI","NATHAN JOSHUA","TULLOCH COURTNEY","GBR",254.14375,4,0
"5","CASALI LORENZO","MACCHINI CARLO","BARTOLINI NICOLA","BONICELLI LORENZO","LODADIO MARCO","ITA",250.37575,5,0
"6","ARICAN FERHAT","ASIL ADEM","ONDER AHMET","OENDER AHMET","COLAK IBRAHIM","TUR",250.21875,6,0
"7","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","CHEPURNYI NAZAR","UKR",248.374,7,0
"8","BAUMANN CHRISTIAN","SERHANI TAHA","LANGENEGGER FLORIAN","SEIFERT NOE","SERHANI SAMIR","SUI",247.70675,8,0
"9","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",247.31425,9,0
"10","DAUSER LUKAS","KOCHAN LUCAS","HOSSEINI MILAN","DUNKEL NILS","TREBING GLENN","GER",246.333,10,0
"11","ABAD NESTOR","MIR NICOLAU","DIALLO THIERNO","PLATA JOEL","WILLIAMS JOSHUA","ESP",243.821,11,0
