"","sim85.X1","sim85.X2","sim85.X3","sim85.X4","sim85.X5","sim85.Country","sim85.score","sim85.rank","sim85.weight"
"1","CHIBA KENTA","HASHIMOTO DAIKI","DOI RYOSUKE","TANIGAWA KAKERU","SUGIMOTO KAITO","JPN",261.1695,1,3
"2","SHI CONG","SU WEIDE","ZHANG BOHENG","YIN DEHANG","LAN XINGYU","CHN",260.89475,2,2
"3","BURKHART TAYLOR","MALONE BRODY","GUIMARAES VITALIY","CHOU J.R.","HONG ASHER","USA",258.30425,3,1
"4","FRASER JOE","TULLOCH COURTNEY","WHITLOCK MAX","LEWIS JAMIE","JARMAN JAKE","GBR",256.26325,4,0
"5","ABBADINI YUMIN","BONICELLI LORENZO","CASALI LORENZO","LEVANTESI MATTEO","LODADIO MARCO","ITA",252.927,5,0
"6","ASIL ADEM","COLAK IBRAHIM","ONDER AHMET","ARICAN FERHAT","OENDER AHMET","TUR",251.828,6,0
"7","KOCHAN LUCAS","TREBING GLENN","BRENDEL PASCAL","DAUSER LUKAS","DUNKEL NILS","GER",250.8075,7,0
"8","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","CLAY ZACHARY","CAN",248.96275,8,0
"9","SEIFERT NOE","SERHANI SAMIR","LANGENEGGER FLORIAN","BAUMANN CHRISTIAN","RAUBAL IAN","SUI",247.6675,9,0
"10","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","VASHCHENKO ROMAN","RADIVILOV IGOR","UKR",247.00025,10,0
"11","ABAD NESTOR","MIR NICOLAU","PLATA JOEL","DIALLO THIERNO","WILLIAMS JOSHUA","ESP",244.72375,11,0
