"","sim59.X1","sim59.X2","sim59.X3","sim59.X4","sim59.X5","sim59.Country","sim59.score","sim59.rank","sim59.weight"
"1","SHI CONG","ZHANG BOHENG","SU WEIDE","YIN DEHANG","LAN XINGYU","CHN",261.6405,1,3
"2","DOI RYOSUKE","HASHIMOTO DAIKI","KAYA KAZUMA","TANIGAWA WATARU","RYOTA TSUMURA","JPN",260.89475,2,2
"3","RICHARD FRED","MOLDAUER YUL","WHITTENBURG DONNELL","WISKUS SHANE","NEDOROSCIK STEPHEN","USA",258.22575,3,1
"4","NATHAN JOSHUA","WHITLOCK MAX","FRASER JOE","HALL JAMES","TULLOCH COURTNEY","GBR",254.37925,4,0
"5","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","RADIVILOV IGOR","STELMAKH RADOMYR","UKR",250.68975,5,0
"6","ASIL ADEM","ONDER AHMET","ARICAN FERHAT","OENDER AHMET","COLAK IBRAHIM","TUR",250.258,6,0
"7","BARTOLINI NICOLA","GARZA LUCA","MACCHIATI MARIO","SARRUGERIO MARCO","LODADIO MARCO","ITA",248.88425,7,0
"8","LANGENEGGER FLORIAN","SERHANI TAHA","RAUBAL IAN","BAUMANN CHRISTIAN","SERHANI SAMIR","SUI",247.31425,8,0
"9","DAUSER LUKAS","KOCHAN LUCAS","HOSSEINI MILAN","TREBING GLENN","BRENDEL PASCAL","GER",247.15725,9,0
"10","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","CLAY ZACHARY","CAN",246.84325,10,0
"11","ABAD NESTOR","MIR NICOLAU","WILLIAMS JOSHUA","DIALLO THIERNO","PLATA JOEL","ESP",243.70325,11,0
