"","sim135.X1","sim135.X2","sim135.X3","sim135.X4","sim135.X5","sim135.Country","sim135.score","sim135.rank","sim135.weight"
"1","HASHIMOTO DAIKI","KAYA KAZUMA","TANIGAWA KAKERU","KAMOTO YUYA","SUGINO TAKAAKI","JPN",261.876,1,3
"2","HONG ASHER","YOUNG KHOI","SUN BLAKE","WALKER COLT","WHITTENBURG DONNELL","USA",259.01075,2,2
"3","SHI CONG","SUN WEI","ZHANG BOHENG","LAN XINGYU","LIU YANG","CHN",258.77525,3,1
"4","LYNN CAMERON","WHITLOCK MAX","REGINI GIARNNI","FRASER JOE","LEWIS JAMIE","GBR",254.4185,4,0
"5","ASIL ADEM","OENDER AHMET","ONDER AHMET","ARICAN FERHAT","GUNDOGDU YUNUS","TUR",252.41675,5,0
"6","MOZZATO NICOLO","BARTOLINI NICOLA","CASALI LORENZO","SARRUGERIO MARCO","ROSA EDOARDO","ITA",251.985,6,0
"7","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",250.1795,7,0
"8","DOLCI FELIX","EMARD WILLIAM","COURNOYER RENE","CLAY ZACHARY","RAMPERSAD JAYSON","CAN",249.59075,8,0
"9","BAUMANN CHRISTIAN","SERHANI TAHA","TAMSEL DOMINIC","SEIFERT NOE","SERHANI SAMIR","SUI",248.531,9,0
"10","ABAD NESTOR","MIR NICOLAU","PLATA JOEL","DIALLO THIERNO","JIMENEZ PAU","ESP",247.746,10,0
"11","HOERR CARLO","KOCHAN LUCAS","DAUSER LUKAS","HOSSEINI MILAN","BRENDEL PASCAL","GER",245.6265,11,0
