"","sim127.X1","sim127.X2","sim127.X3","sim127.X4","sim127.X5","sim127.Country","sim127.score","sim127.rank","sim127.weight"
"1","HASHIMOTO DAIKI","KAWAKAMI SHOHEI","MATSUMI KAZUKI","TANIGAWA KAKERU","MINAMI KAZUKI","JPN",261.719,1,3
"2","SHI CONG","ZHANG BOHENG","YANG JIAXING","ZOU JINGYUAN","LAN XINGYU","CHN",259.95275,2,2
"3","MALONE BRODY","RICHARD FRED","MOLDAUER YUL","HONG ASHER","YOUNG KHOI","USA",258.85375,3,1
"4","ASIL ADEM","OENDER AHMET","ONDER AHMET","ARICAN FERHAT","COLAK IBRAHIM","TUR",254.69325,4,0
"5","FRASER JOE","HALL JAMES","WHITLOCK MAX","REGINI GIARNNI","TULLOCH COURTNEY","GBR",253.398,5,0
"6","VANNUCCHI NICCOLO","BARTOLINI NICOLA","MACCHIATI MARIO","ABBADINI YUMIN","MARESCA SALVATORE","ITA",250.14025,6,0
"7","SEIFERT NOE","SERHANI SAMIR","TAMSEL DOMINIC","LANGENEGGER FLORIAN","RAUBAL IAN","SUI",249.316,7,0
"8","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",248.57025,8,0
"9","JIMENEZ PAU","MIR NICOLAU","PLATA JOEL","ABAD NESTOR","DIALLO THIERNO","ESP",248.17775,9,0
"10","COURNOYER RENE","DOLCI FELIX","EMARD WILLIAM","CLAY ZACHARY","RAMPERSAD JAYSON","CAN",247.1965,10,0
"11","BRENDEL PASCAL","HOSSEINI MILAN","SCHULTZE TOM","DUNKEL NILS","TREBING GLENN","GER",246.13675,11,0
