"","sim81.X1","sim81.X2","sim81.X3","sim81.X4","sim81.X5","sim81.Country","sim81.score","sim81.rank","sim81.weight"
"1","HASHIMOTO DAIKI","DOI RYOSUKE","KAMOTO YUYA","TANIGAWA WATARU","RYOTA TSUMURA","JPN",259.1285,1,3
"2","SUN WEI","YANG JIAXING","ZHANG BOHENG","SHI CONG","LAN XINGYU","CHN",258.5005,2,2
"3","JUDA PAUL","LASIC IAN","MALONE BRODY","HONG ASHER","YOUNG KHOI","USA",258.30425,3,1
"4","FRASER JOE","HALL JAMES","WHITLOCK MAX","REGINI GIARNNI","TULLOCH COURTNEY","GBR",257.20525,4,0
"5","ABBADINI YUMIN","MOZZATO NICOLO","MACCHIATI MARIO","CASALI LORENZO","SARRUGERIO MARCO","ITA",249.7085,5,0
"6","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",249.002,6,0
"7","ASIL ADEM","COLAK IBRAHIM","OENDER AHMET","ARICAN FERHAT","KOSAK MEHMET","TUR",248.845,7,0
"8","BAUMANN CHRISTIAN","SEIFERT NOE","RAUBAL IAN","TAMSEL DOMINIC","SERHANI SAMIR","SUI",247.903,8,0
"9","COURNOYER RENE","DOLCI FELIX","EMARD WILLIAM","KAJI CHRIS","RAMPERSAD JAYSON","CAN",247.62825,9,0
"10","BRENDEL PASCAL","HOSSEINI MILAN","DAUSER LUKAS","KOCHAN LUCAS","TREBING GLENN","GER",246.333,10,0
"11","PLATA JOEL","WILLIAMS JOSHUA","ABAD NESTOR","DIALLO THIERNO","MIR NICOLAU","ESP",243.978,11,0
