"","sim22.X1","sim22.X2","sim22.X3","sim22.X4","sim22.X5","sim22.Country","sim22.score","sim22.rank","sim22.weight"
"1","HASHIMOTO DAIKI","KAMOTO YUYA","TANIGAWA KAKERU","RYOTA TSUMURA","KAYA KAZUMA","JPN",262.62175,1,3
"2","LIN CHAOPAN","ZHANG BOHENG","YANG JIAXING","SHI CONG","LAN XINGYU","CHN",260.8555,2,2
"3","JUDA PAUL","MALONE BRODY","RICHARD FRED","WHITTENBURG DONNELL","SUN BLAKE","USA",259.40325,3,1
"4","NATHAN JOSHUA","FRASER JOE","HEPWORTH HARRY","WHITLOCK MAX","JARMAN JAKE","GBR",252.96625,4,0
"5","MACCHINI CARLO","CASALI LORENZO","VANNUCCHI NICCOLO","MACCHIATI MARIO","SARRUGERIO MARCO","ITA",251.94575,5,0
"6","ABAD NESTOR","JIMENEZ PAU","PLATA JOEL","MIR NICOLAU","DIALLO THIERNO","ESP",249.787,6,0
"7","ASIL ADEM","COLAK IBRAHIM","ONDER AHMET","ARICAN FERHAT","OENDER AHMET","TUR",249.5515,7,0
"8","BRENDEL PASCAL","KOCHAN LUCAS","HOSSEINI MILAN","DAUSER LUKAS","DUNKEL NILS","GER",248.2955,8,0
"9","BAUMANN CHRISTIAN","SEIFERT NOE","FREY ANDRIN","LANGENEGGER FLORIAN","RAUBAL IAN","SUI",246.92175,9,0
"10","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",246.76475,10,0
"11","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","VASHCHENKO ROMAN","RADIVILOV IGOR","UKR",246.29375,11,0
