"","sim30.X1","sim30.X2","sim30.X3","sim30.X4","sim30.X5","sim30.Country","sim30.score","sim30.rank","sim30.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","TANIGAWA WATARU","CHIBA KENTA","MINORI HARUKI","JPN",260.34525,1,3
"2","LIN CHAOPAN","ZHANG BOHENG","SHI CONG","LAN XINGYU","LIU YANG","CHN",259.87425,2,2
"3","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","WHITTENBURG DONNELL","LOOS RILEY","USA",256.1455,3,1
"4","FRASER JOE","LYNN CAMERON","REGINI GIARNNI","TULLOCH COURTNEY","JARMAN JAKE","GBR",254.183,4,0
"5","CHEPURNYI NAZAR","PAKHNIUK PETRO","STELMAKH RADOMYR","KOVTUN ILLIA","RADIVILOV IGOR","UKR",250.6505,5,0
"6","ABBADINI YUMIN","MOZZATO NICOLO","BARTOLINI NICOLA","CASALI LORENZO","LODADIO MARCO","ITA",250.06175,6,0
"7","ASIL ADEM","ONDER AHMET","ARICAN FERHAT","OENDER AHMET","COLAK IBRAHIM","TUR",249.35525,7,0
"8","BAUMANN CHRISTIAN","SERHANI TAHA","LANGENEGGER FLORIAN","RAUBAL IAN","SERHANI SAMIR","SUI",248.72725,8,0
"9","BRENDEL PASCAL","KOCHAN LUCAS","SCHULTZE TOM","DAUSER LUKAS","TREBING GLENN","GER",248.688,9,0
"10","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",245.66575,10,0
"11","ABAD NESTOR","PLATA JOEL","MIR NICOLAU","DIALLO THIERNO","WILLIAMS JOSHUA","ESP",245.19475,11,0
