"","sim48.X1","sim48.X2","sim48.X3","sim48.X4","sim48.X5","sim48.Country","sim48.score","sim48.rank","sim48.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","SUGIMOTO KAITO","TANIGAWA KAKERU","KAYA KAZUMA","JPN",262.033,1,3
"2","MALONE BRODY","PHILLIPS CURRAN","MOLDAUER YUL","WALKER COLT","HONG ASHER","USA",258.53975,2,2
"3","SHI CONG","SU WEIDE","ZHANG BOHENG","YIN DEHANG","LAN XINGYU","CHN",258.30425,3,1
"4","FRASER JOE","HALL JAMES","REGINI GIARNNI","JARMAN JAKE","MOSTOWFI SAM","GBR",255.55675,4,0
"5","ARICAN FERHAT","ASIL ADEM","OENDER AHMET","COLAK IBRAHIM","KOSAK MEHMET","TUR",254.14375,5,0
"6","ABBADINI YUMIN","BARTOLINI NICOLA","CASALI LORENZO","ROSA EDOARDO","LODADIO MARCO","ITA",249.316,6,0
"7","SEIFERT NOE","LANGENEGGER FLORIAN","SERHANI TAHA","BAUMANN CHRISTIAN","RAUBAL IAN","SUI",248.845,7,0
"8","KOCHAN LUCAS","TREBING GLENN","SCHULTZE TOM","DAUSER LUKAS","DUNKEL NILS","GER",247.94225,8,0
"9","COURNOYER RENE","DOLCI FELIX","EMARD WILLIAM","CLAY ZACHARY","RAMPERSAD JAYSON","CAN",247.31425,9,0
"10","ABAD NESTOR","JIMENEZ PAU","PLATA JOEL","DIALLO THIERNO","MIR NICOLAU","ESP",246.961,10,0
"11","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",244.763,11,0
