"","sim78.X1","sim78.X2","sim78.X3","sim78.X4","sim78.X5","sim78.Country","sim78.score","sim78.rank","sim78.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","KAMOTO YUYA","KAYA KAZUMA","RYOTA TSUMURA","JPN",261.60125,1,3
"2","SU WEIDE","SUN WEI","ZHANG BOHENG","SHI CONG","ZOU JINGYUAN","CHN",258.0295,2,2
"3","BOCK CAMERON","JUDA PAUL","YOUNG KHOI","MALONE BRODY","HONG ASHER","USA",257.75475,3,1
"4","FRASER JOE","REGINI GIARNNI","TOBIN ADAM","JARMAN JAKE","HALL JAMES","GBR",255.08575,4,0
"5","ARICAN FERHAT","ASIL ADEM","OENDER AHMET","ONDER AHMET","KOSAK MEHMET","TUR",251.671,5,0
"6","ABBADINI YUMIN","CASALI LORENZO","LODADIO MARCO","MARESCA SALVATORE","BARTOLINI NICOLA","ITA",251.1215,6,0
"7","BRENDEL PASCAL","DAUSER LUKAS","HOSSEINI MILAN","KOCHAN LUCAS","DUNKEL NILS","GER",248.2955,7,0
"8","RAUBAL IAN","TAMSEL DOMINIC","LANGENEGGER FLORIAN","SEIFERT NOE","BAUMANN CHRISTIAN","SUI",248.2955,8,0
"9","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","CLAY ZACHARY","CAN",247.6675,9,0
"10","CHEPURNYI NAZAR","PAKHNIUK PETRO","STELMAKH RADOMYR","KOVTUN ILLIA","RADIVILOV IGOR","UKR",246.13675,10,0
"11","ABAD NESTOR","WILLIAMS JOSHUA","DIALLO THIERNO","MIR NICOLAU","PLATA JOEL","ESP",244.5275,11,0
