"","sim58.X1","sim58.X2","sim58.X3","sim58.X4","sim58.X5","sim58.Country","sim58.score","sim58.rank","sim58.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","KAMOTO YUYA","SUGINO TAKAAKI","TANIGAWA WATARU","JPN",263.40675,1,3
"2","SHI CONG","ZHANG BOHENG","SU WEIDE","YOU HAO","YANG JIAXING","CHN",262.19,2,2
"3","MALONE BRODY","RICHARD FRED","NEDOROSCIK STEPHEN","HONG ASHER","WHITTENBURG DONNELL","USA",258.38275,3,1
"4","FRASER JOE","HALL JAMES","REGINI GIARNNI","JARMAN JAKE","LEWIS JAMIE","GBR",257.5585,4,0
"5","ABBADINI YUMIN","MOZZATO NICOLO","BARTOLINI NICOLA","MACCHIATI MARIO","LODADIO MARCO","ITA",251.2,5,0
"6","ASIL ADEM","OENDER AHMET","ONDER AHMET","KOSAK MEHMET","COLAK IBRAHIM","TUR",249.944,6,0
"7","BAUMANN CHRISTIAN","SERHANI TAHA","TAMSEL DOMINIC","LANGENEGGER FLORIAN","SERHANI SAMIR","SUI",247.78525,7,0
"8","DAUSER LUKAS","TREBING GLENN","BRENDEL PASCAL","SCHULTZE TOM","SISSAKIS DARIO","GER",247.70675,8,0
"9","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",245.9405,9,0
"10","ABAD NESTOR","MIR NICOLAU","PLATA JOEL","JIMENEZ PAU","DIALLO THIERNO","ESP",245.43025,10,0
"11","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",240.7595,11,0
