"","sim67.X1","sim67.X2","sim67.X3","sim67.X4","sim67.X5","sim67.Country","sim67.score","sim67.rank","sim67.weight"
"1","SUN WEI","ZHANG BOHENG","YIN DEHANG","ZOU JINGYUAN","LAN XINGYU","CHN",260.65925,1,3
"2","DOI RYOSUKE","HASHIMOTO DAIKI","KAMOTO YUYA","TANIGAWA WATARU","KOGA HIRAMATSU","JPN",260.50225,2,2
"3","JUDA PAUL","MOLDAUER YUL","YOUNG KHOI","SKIRKEY IAN","HONG ASHER","USA",258.30425,3,1
"4","BRENDEL PASCAL","KOCHAN LUCAS","HOSSEINI MILAN","SCHULTZE TOM","DAUSER LUKAS","GER",251.23925,4,0
"5","CASALI LORENZO","MACCHIATI MARIO","SARRUGERIO MARCO","ABBADINI YUMIN","LODADIO MARCO","ITA",250.572,5,0
"6","FRASER JOE","JARMAN JAKE","HALL JAMES","HEPWORTH HARRY","TULLOCH COURTNEY","GBR",249.90475,6,0
"7","ARICAN FERHAT","ASIL ADEM","ONDER AHMET","OENDER AHMET","COLAK IBRAHIM","TUR",249.35525,7,0
"8","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",248.80575,8,0
"9","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","CLAY ZACHARY","CAN",247.70675,9,0
"10","BAUMANN CHRISTIAN","SEIFERT NOE","SERHANI TAHA","RAUBAL IAN","SERHANI SAMIR","SUI",247.275,10,0
"11","ABAD NESTOR","DIALLO THIERNO","MIR NICOLAU","JIMENEZ PAU","PLATA JOEL","ESP",245.705,11,0
