"","sim119.X1","sim119.X2","sim119.X3","sim119.X4","sim119.X5","sim119.Country","sim119.score","sim119.rank","sim119.weight"
"1","SUN WEI","ZHANG BOHENG","SHI CONG","LAN XINGYU","YANG JIAXING","CHN",262.7395,1,3
"2","DOI RYOSUKE","MATSUMI KAZUKI","TANIGAWA WATARU","HASHIMOTO DAIKI","KAYA KAZUMA","JPN",259.835,2,2
"3","JUDA PAUL","MALONE BRODY","RICHARD FRED","HONG ASHER","SKIRKEY IAN","USA",258.77525,3,1
"4","FRASER JOE","JARMAN JAKE","REGINI GIARNNI","TULLOCH COURTNEY","TOBIN ADAM","GBR",255.596,4,0
"5","COLAK IBRAHIM","OENDER AHMET","ARICAN FERHAT","ASIL ADEM","KOSAK MEHMET","TUR",251.78875,5,0
"6","BAUMANN CHRISTIAN","RAUBAL IAN","LANGENEGGER FLORIAN","SEIFERT NOE","SERHANI TAHA","SUI",250.0225,6,0
"7","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","CHEPURNYI NAZAR","UKR",248.217,7,0
"8","ABBADINI YUMIN","MOZZATO NICOLO","BARTOLINI NICOLA","SARRUGERIO MARCO","LODADIO MARCO","ITA",247.6675,8,0
"9","DAUSER LUKAS","HOERR CARLO","TREBING GLENN","HOSSEINI MILAN","DUNKEL NILS","GER",247.118,9,0
"10","COURNOYER RENE","ZAKUTNEY SAM","EMARD WILLIAM","KAJI CHRIS","RAMPERSAD JAYSON","CAN",244.0565,10,0
"11","ABAD NESTOR","DIALLO THIERNO","MIR NICOLAU","PLATA JOEL","WILLIAMS JOSHUA","ESP",243.4285,11,0
