"","Simulation","Member1","Member2","Member3","Member4","Member5","Score","Rank","Weight"
"data","sim601","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","WHITTENBURG DONNELL","YOUNG KHOI","257.48","3","1"
"data.1","sim602","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","YOUNG KHOI","WHITTENBURG DONNELL","257.637","3","1"
"data.2","sim603","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","HONG ASHER","YOUNG KHOI","256.73425","3","1"
"data.3","sim604","MALONE BRODY","PHILLIPS CURRAN","HONG ASHER","JUDA PAUL","WHITTENBURG DONNELL","259.207","3","1"
"data.4","sim605","JUDA PAUL","MALONE BRODY","WALKER COLT","YOUNG KHOI","HONG ASHER","256.49875","4","0"
"data.5","sim606","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","WHITTENBURG DONNELL","HONG ASHER","256.18475","3","1"
"data.6","sim607","HONG ASHER","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","YOUNG KHOI","255.0465","3","1"
"data.7","sim608","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","HONG ASHER","WHITTENBURG DONNELL","256.18475","3","1"
"data.8","sim609","MALONE BRODY","WHITTENBURG DONNELL","HONG ASHER","YOUNG KHOI","NEDOROSCIK STEPHEN","256.6165","3","1"
"data.9","sim610","JUDA PAUL","MALONE BRODY","WALKER COLT","YOUNG KHOI","HONG ASHER","258.22575","3","1"
"data.10","sim611","JUDA PAUL","MALONE BRODY","YOUNG KHOI","HONG ASHER","SUN BLAKE","256.65575","3","1"
"data.11","sim612","JUDA PAUL","MALONE BRODY","WALKER COLT","SUN BLAKE","YOUNG KHOI","257.4015","3","1"
"data.12","sim613","MALONE BRODY","PHILLIPS CURRAN","JUDA PAUL","WALKER COLT","NEDOROSCIK STEPHEN","256.067","3","1"
"data.13","sim614","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","SUN BLAKE","WALKER COLT","257.91175","3","1"
