"","sim89.X1","sim89.X2","sim89.X3","sim89.X4","sim89.X5","sim89.Country","sim89.score","sim89.rank","sim89.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","KAMOTO YUYA","KAYA KAZUMA","CHIBA KENTA","JPN",262.22925,1,3
"2","SHI CONG","SUN WEI","SU WEIDE","YIN DEHANG","LAN XINGYU","CHN",258.93225,2,2
"3","RICHARD FRED","WALKER COLT","WHITTENBURG DONNELL","WISKUS SHANE","MALONE BRODY","USA",256.65575,3,1
"4","ABBADINI YUMIN","MOZZATO NICOLO","CASALI LORENZO","LODADIO MARCO","MACCHIATI MARIO","ITA",253.0055,4,0
"5","FRASER JOE","HALL JAMES","REGINI GIARNNI","JARMAN JAKE","LEWIS JAMIE","GBR",252.96625,5,0
"6","ARICAN FERHAT","ASIL ADEM","COLAK IBRAHIM","ONDER AHMET","OENDER AHMET","TUR",247.589,6,0
"7","CHEPURNYI NAZAR","KOVTUN ILLIA","STELMAKH RADOMYR","RADIVILOV IGOR","PAKHNIUK PETRO","UKR",246.8825,7,0
"8","BAUMANN CHRISTIAN","TAMSEL DOMINIC","LANGENEGGER FLORIAN","SEIFERT NOE","SERHANI SAMIR","SUI",246.647,8,0
"9","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",246.37225,9,0
"10","HOERR CARLO","TREBING GLENN","BRENDEL PASCAL","DAUSER LUKAS","KUNZ ALEXANDER","GER",246.05825,10,0
"11","ABAD NESTOR","PLATA JOEL","WILLIAMS JOSHUA","MIR NICOLAU","DIALLO THIERNO","ESP",245.234,11,0
