"","sim44.X1","sim44.X2","sim44.X3","sim44.X4","sim44.X5","sim44.Country","sim44.score","sim44.rank","sim44.weight"
"1","SHI CONG","YANG JIAXING","ZHANG BOHENG","YIN DEHANG","ZOU JINGYUAN","CHN",262.38625,1,3
"2","DOI RYOSUKE","HASHIMOTO DAIKI","SUGIMOTO KAITO","TANIGAWA KAKERU","RYOTA TSUMURA","JPN",261.7975,2,2
"3","JUDA PAUL","MALONE BRODY","GUIMARAES VITALIY","WALKER COLT","MOLDAUER YUL","USA",258.46125,3,1
"4","FRASER JOE","REGINI GIARNNI","WHITLOCK MAX","JARMAN JAKE","LEWIS JAMIE","GBR",253.084,4,0
"5","MACCHINI CARLO","CASALI LORENZO","LEVANTESI MATTEO","MACCHIATI MARIO","LODADIO MARCO","ITA",251.71025,5,0
"6","ASIL ADEM","OENDER AHMET","ARICAN FERHAT","ONDER AHMET","COLAK IBRAHIM","TUR",249.04125,6,0
"7","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","CLAY ZACHARY","CAN",247.86375,7,0
"8","BAUMANN CHRISTIAN","SEIFERT NOE","SERHANI SAMIR","RAUBAL IAN","FREY ANDRIN","SUI",247.54975,8,0
"9","DAUSER LUKAS","TREBING GLENN","BRENDEL PASCAL","HOSSEINI MILAN","DUNKEL NILS","GER",246.176,9,0
"10","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",245.97975,10,0
"11","ABAD NESTOR","MIR NICOLAU","PLATA JOEL","JIMENEZ PAU","DIALLO THIERNO","ESP",245.27325,11,0
