"","sim72.X1","sim72.X2","sim72.X3","sim72.X4","sim72.X5","sim72.Country","sim72.score","sim72.rank","sim72.weight"
"1","SHI CONG","SUN WEI","ZHANG BOHENG","LAN XINGYU","YIN DEHANG","CHN",260.463,1,3
"2","DOI RYOSUKE","HASHIMOTO DAIKI","KAMOTO YUYA","TANIGAWA WATARU","RYOTA TSUMURA","JPN",260.34525,2,2
"3","MALONE BRODY","JUDA PAUL","HONG ASHER","WHITTENBURG DONNELL","YOUNG KHOI","USA",256.538,3,1
"4","TOBIN ADAM","WHITLOCK MAX","FRASER JOE","JARMAN JAKE","WHITEHOUSE LUKE","GBR",252.96625,4,0
"5","ABBADINI YUMIN","BARTOLINI NICOLA","VANNUCCHI NICCOLO","MACCHIATI MARIO","SARRUGERIO MARCO","ITA",251.63175,5,0
"6","SEIFERT NOE","SERHANI TAHA","RAUBAL IAN","BAUMANN CHRISTIAN","LANGENEGGER FLORIAN","SUI",250.06175,6,0
"7","ARICAN FERHAT","ASIL ADEM","OENDER AHMET","COLAK IBRAHIM","KOSAK MEHMET","TUR",249.8655,7,0
"8","KOCHAN LUCAS","HOSSEINI MILAN","DUNKEL NILS","TREBING GLENN","BRENDEL PASCAL","GER",247.118,8,0
"9","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","VASHCHENKO ROMAN","UKR",246.5685,9,0
"10","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",244.763,10,0
"11","ABAD NESTOR","DIALLO THIERNO","MIR NICOLAU","PLATA JOEL","JIMENEZ PAU","ESP",243.5855,11,0
