"","sim47.X1","sim47.X2","sim47.X3","sim47.X4","sim47.X5","sim47.Country","sim47.score","sim47.rank","sim47.weight"
"1","SHI CONG","SU WEIDE","ZHANG BOHENG","ZOU JINGYUAN","LAN XINGYU","CHN",262.54325,1,3
"2","DOI RYOSUKE","HASHIMOTO DAIKI","KAMOTO YUYA","TANIGAWA KAKERU","KAYA KAZUMA","JPN",262.22925,2,2
"3","MALONE BRODY","WALKER COLT","WISKUS SHANE","PHILLIPS CURRAN","GUIMARAES VITALIY","USA",260.65925,3,1
"4","JARMAN JAKE","TOBIN ADAM","HALL JAMES","REGINI GIARNNI","FRASER JOE","GBR",254.7325,4,0
"5","ARICAN FERHAT","ASIL ADEM","OENDER AHMET","COLAK IBRAHIM","GUNDOGDU YUNUS","TUR",254.4185,5,0
"6","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",249.74775,6,0
"7","ABBADINI YUMIN","MOZZATO NICOLO","LEVANTESI MATTEO","MACCHIATI MARIO","MARESCA SALVATORE","ITA",248.96275,7,0
"8","BRENDEL PASCAL","DAUSER LUKAS","KOCHAN LUCAS","HOSSEINI MILAN","TREBING GLENN","GER",247.47125,8,0
"9","SERHANI SAMIR","SERHANI TAHA","LANGENEGGER FLORIAN","SEIFERT NOE","BAUMANN CHRISTIAN","SUI",247.275,9,0
"10","ABAD NESTOR","MIR NICOLAU","JIMENEZ PAU","DIALLO THIERNO","PLATA JOEL","ESP",247.15725,10,0
"11","COURNOYER RENE","EMARD WILLIAM","ZAKUTNEY SAM","DOLCI FELIX","RAMPERSAD JAYSON","CAN",246.45075,11,0
