"","sim102.X1","sim102.X2","sim102.X3","sim102.X4","sim102.X5","sim102.Country","sim102.score","sim102.rank","sim102.weight"
"1","HASHIMOTO DAIKI","KAMOTO YUYA","KAYA KAZUMA","DOI RYOSUKE","TANIGAWA KAKERU","JPN",260.58075,1,3
"2","SHI CONG","SUN WEI","ZHANG BOHENG","LAN XINGYU","YOU HAO","CHN",259.992,2,2
"3","BOCK CAMERON","MALONE BRODY","SUN BLAKE","WHITTENBURG DONNELL","GUIMARAES VITALIY","USA",259.71725,3,1
"4","FRASER JOE","KARNEJENKO PAVEL","JARMAN JAKE","REGINI GIARNNI","LEWIS JAMIE","GBR",256.4595,4,0
"5","MACCHINI CARLO","BARTOLINI NICOLA","CASALI LORENZO","LEVANTESI MATTEO","LODADIO MARCO","ITA",250.9645,5,0
"6","KOCHAN LUCAS","BRENDEL PASCAL","DAUSER LUKAS","HOSSEINI MILAN","DUNKEL NILS","GER",250.06175,6,0
"7","ARICAN FERHAT","ASIL ADEM","ONDER AHMET","OENDER AHMET","GUNDOGDU YUNUS","TUR",250.06175,7,0
"8","BAUMANN CHRISTIAN","SEIFERT NOE","SERHANI TAHA","FREY ANDRIN","RAUBAL IAN","SUI",249.8655,8,0
"9","JIMENEZ PAU","PLATA JOEL","MIR NICOLAU","DIALLO THIERNO","ABAD NESTOR","ESP",249.11975,9,0
"10","COURNOYER RENE","EMARD WILLIAM","ZAKUTNEY SAM","DOLCI FELIX","CLAY ZACHARY","CAN",246.8825,10,0
"11","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",244.135,11,0
